CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	0.1%RVIS	0.1%RVIS%	EdgeCase	OEratio%tile
ZCCHC5	ZCCHC5	ZCCHC5	ZCCHC5	ZCCHC5	0.486911049	79.46449634	N	83.29318237
LPAR4	LPAR4	LPAR4	LPAR4	LPAR4	0.281220278	71.07808445	Y	48.91592387
P2RY10	P2RY10	P2RY10	P2RY10	P2RY10	-0.007201372	53.19061099	Y	7.612623464
GPR174	GPR174	GPR174	GPR174	GPR174	0.371224249	75.12384996	N	21.59118285
ITM2A	ITM2A	ITM2A	ITM2A	ITM2A	0.080983847	59.76055674	Y	19.95302337
TBX22	TBX22	TBX22	TBX22	TBX22	-0.181750739	40.15687662	N	16.78511202
FAM46D	FAM46D	FAM46D	FAM46D	FAM46D	-0.0274281	51.65723048	N	41.52011563
BRWD3	BRWD3	BRWD3	BRWD3	BRWD3	-0.488577883	22.64685067	N	9.232715008
HMGN5	HMGN5	HMGN5	HMGN5	HMGN5	0.880130671	88.9596603	N	97.30185497
SH3BGRL	SH3BGRL	SH3BGRL	SH3BGRL	SH3BGRL	0.013025609	54.62962963	Y	34.20862443
POU3F4	POU3F4	POU3F4	POU3F4	POU3F4	0.125076652	62.7388535	Y	11.43098049
RPS6KA6	RPS6KA6	RPS6KA6	RPS6KA6	RPS6KA6	-0.093566408	46.7386176	N	29.12551192
POF1B	POF1B	POF1B	POF1B	POF1B	0.92967242	89.79122435	N	92.4355577
CHM	CHM	CHM	CHM	CHM	0.174625237	65.9648502	N	63.713563
DACH2	DACH2	DACH2	DACH2	DACH2	-0.492218069	22.35786742	N	73.2654782
KLHL4	KLHL4	KLHL4	KLHL4	KLHL4	-0.359940251	28.93371078	N	9.473620814
CPXCR1	CPXCR1	CPXCR1	CPXCR1	CPXCR1	0.881944684	89.02453409	N	90.65285473
TGIF2LX	TGIF2LX	TGIF2LX	TGIF2LX	TGIF2LX	0.170987912	65.5579146	Y	17.06817634
PABPC5	PABPC5	PABPC5	PABPC5	PABPC5	-0.05129383	49.75819769	Y	64.34594074
PCDH11X	PCDH11X	PCDH11X	PCDH11X	PCDH11X	-0.220384297	37.6032083	N	31.48036618
NAP1L3	NAP1L3	NAP1L3	NAP1L3	NAP1L3	0.128714042	63.19886766	N	21.8923151
FAM133A	FAM133A	FAM133A	FAM133A	FAM133A	0.545784012	81.11582921	Y	99.78920742
DIAPH2	DIAPH2	DIAPH2	DIAPH2	DIAPH2	-0.999300439	8.368719038	N	40.18308841
TNMD	TNMD	TNMD	TNMD	TNMD	-0.05129383	49.75819769	Y	53.15586606
TSPAN6	TSPAN6	TSPAN6	TSPAN6	TSPAN6	-0.117432389	44.89266336	Y	93.0498675
SRPX2	SRPX2	SRPX2	SRPX2	SRPX2	0.174625237	65.9648502	N	54.2158516
SYTL4	SYTL4	SYTL4	SYTL4	SYTL4	0.262810045	70.43524416	N	80.75162611
CSTF2	CSTF2	CSTF2	CSTF2	CSTF2	0.237127192	68.98443029	Y	17.00192725
NOX1	NOX1	NOX1	NOX1	NOX1	0.420771676	77.15852795	N	66.42375331
XKRX	XKRX	XKRX	XKRX	XKRX	0.327131069	73.27199811	N	46.56709227
TRMT2B	TRMT2B	TRMT2B	TRMT2B	TRMT2B	-0.271755481	34.31823543	N	15.06263551
TMEM35	TMEM35	TMEM35	TMEM35	TMEM35	0.013025609	54.62962963	Y	39.36400867
CENPI	CENPI	CENPI	CENPI	CENPI	0.018483465	55.44939844	N	26.40929896
DRP2	DRP2	DRP2	DRP2	DRP2	-0.464712395	23.5727766	N	13.43049868
TIMM8A	TIMM8A	TIMM8A	TIMM8A	TIMM8A	0.035072054	56.2514744	Y	6.968200434
BTK	BTK	BTK	BTK	BTK	-0.117432389	44.89266336	Y	9.708503975
RPL36A	RPL36A	RPL36A	RPL36A	RPL36A	0.257356108	69.83368719	Y	14.58684654
GLA	GLA	GLA	GLA	GLA	0.038710339	56.92380278	Y	73.0787762
HNRNPH2	HNRNPH2	HNRNPH2	HNRNPH2	HNRNPH2	-0.141298762	42.87567823	Y	1.379185738
ARMCX1	ARMCX1	ARMCX1	ARMCX1	ARMCX1	-0.405853867	26.23260203	Y	13.36424958
ARMCX3	ARMCX3	ARMCX3	ARMCX3	ARMCX3	0.125076652	62.7388535	Y	71.48277523
ARMCX2	ARMCX2	ARMCX2	ARMCX2	ARMCX2	-0.492218069	22.35786742	N	15.90580583
NXF5	NXF5	NXF5	NXF5	NXF5	1.929210393	97.45812692	N	86.85858829
TCEAL2	TCEAL2	TCEAL2	TCEAL2	TCEAL2	0.43736446	77.56546355	N	35.30474584
TMSB15A	TMSB15A	TMSB15A	TMSB15A	TMSB15A	0.12325821	62.38499646	N	Unassessed
ARMCX5	ARMCX5	ARMCX5	ARMCX5	ARMCX5	-0.249709319	35.74545883	N	61.56347868
GPRASP2	GPRASP2	GPRASP2	GPRASP2	GPRASP2	0.286674996	71.49681529	N	52.15610696
BHLHB9	BHLHB9	BHLHB9	BHLHB9	BHLHB9	0.284856336	71.40835103	N	93.79065285
NXF3	NXF3	NXF3	NXF3	NXF3	-0.359940251	28.93371078	N	45.48903879
TCEAL8	TCEAL8	TCEAL8	TCEAL8	TCEAL8	0.101211609	60.95777306	N	Unassessed
BEX2	BEX2	BEX2	BEX2	BEX2	0.635788962	83.63411182	N	70.11563479
TCEAL7	TCEAL7	TCEAL7	TCEAL7	TCEAL7	0.12325821	62.38499646	N	Unassessed
WBP5	WBP5	WBP5	WBP5	WBP5	0.057118534	57.99716914	Y	39.13514816
NGFRAP1	NGFRAP1	NGFRAP1	NGFRAP1	NGFRAP1	-0.009020804	52.8544468	Y	5.215610696
TCEAL4	TCEAL4	TCEAL4	TCEAL4	TCEAL4	0.235309407	68.71903751	Y	7.365695013
TCEAL3	TCEAL3	TCEAL3	TCEAL3	TCEAL3	0.21326276	67.71644256	Y	87.51505661
MORF4L2	MORF4L2	MORF4L2	MORF4L2	MORF4L2	-0.053113545	49.38664779	Y	48.83160684
PLP1	PLP1	PLP1	PLP1	PLP1	0.013025609	54.62962963	Y	1.294868706
RAB9B	RAB9B	RAB9B	RAB9B	RAB9B	-0.075159878	47.78839349	Y	1.198506384
ESX1	ESX1	ESX1	ESX1	ESX1	0.040529541	57.15380986	N	94.11587569
IL1RAPL2	IL1RAPL2	IL1RAPL2	IL1RAPL2	IL1RAPL2	-0.337894035	30.37272942	N	23.2654782
SERPINA7	SERPINA7	SERPINA7	SERPINA7	SERPINA7	0.994001092	90.5579146	N	99.06649
CXorf57	CXorf57	CXorf57	CXorf57	CXorf57	-0.402212257	26.7338995	N	44.11587569
RNF128	RNF128	RNF128	RNF128	RNF128	0.062575634	58.74026893	N	63.30402313
TBC1D8B	TBC1D8B	TBC1D8B	TBC1D8B	TBC1D8B	-1.148192153	6.316348195	N	78.54733799
CLDN2	CLDN2	CLDN2	CLDN2	CLDN2	0.147123112	64.11299835	Y	42.29101421
MORC4	MORC4	MORC4	MORC4	MORC4	-0.356299879	29.31115829	N	22.89809684
RBM41	RBM41	RBM41	RBM41	RBM41	-0.249709319	35.74545883	N	58.8051072
NUP62CL	NUP62CL	NUP62CL	NUP62CL	NUP62CL	0.813985927	87.81552253	N	98.85569742
PIH1D3	PIH1D3	PIH1D3	PIH1D3	PIH1D3	0.301449681	71.80938901	Y	11.12984823
PRPS1	PRPS1	PRPS1	PRPS1	PRPS1	0.035072054	56.2514744	Y	0.096362322
TSC22D3	TSC22D3	TSC22D3	TSC22D3	TSC22D3	-0.207437529	38.2814343	Y	9.606119007
MID2	MID2	MID2	MID2	MID2	-0.26993514	34.59542345	N	72.97639123
TEX13B	TEX13B	TEX13B	TEX13B	TEX13B	0.948089677	89.95635763	N	99.79523007
VSIG1	VSIG1	VSIG1	VSIG1	VSIG1	-0.181750739	40.15687662	N	72.86196097
PSMD10	PSMD10	PSMD10	PSMD10	PSMD10	-0.09720619	46.20193442	Y	74.92772826
ATG4A	ATG4A	ATG4A	ATG4A	ATG4A	0.03689118	56.64071715	Y	90.29149603
COL4A6	COL4A6	COL4A6	COL4A6	COL4A6	0.36555769	74.7287096	N	42.15851602
COL4A5	COL4A5	COL4A5	COL4A5	COL4A5	-1.148192153	6.316348195	N	39.21344254
IRS4	IRS4	IRS4	IRS4	IRS4	0.536463361	81.06864827	N	53.25825102
GUCY2F	GUCY2F	GUCY2F	GUCY2F	GUCY2F	1.561617801	95.67114886	N	77.3608769
NXT2	NXT2	NXT2	NXT2	NXT2	0.013025609	54.62962963	Y	12.17176584
ACSL4	ACSL4	ACSL4	ACSL4	ACSL4	-0.560178693	19.30879925	N	26.95133703
TMEM164	TMEM164	TMEM164	TMEM164	TMEM164	-0.119252484	44.53880632	Y	15.38785835
AMMECR1	AMMECR1	AMMECR1	AMMECR1	AMMECR1	-0.09720619	46.20193442	Y	95.40472175
RGAG1	RGAG1	RGAG1	RGAG1	RGAG1	0.496013929	79.63552725	N	63.33413635
CHRDL1	CHRDL1	CHRDL1	CHRDL1	CHRDL1	-0.005381972	53.50908233	N	9.9253192
PAK3	PAK3	PAK3	PAK3	PAK3	-0.405853867	26.23260203	Y	9.931341845
CAPN6	CAPN6	CAPN6	CAPN6	CAPN6	0.128714042	63.19886766	N	22.10310768
DCX	DCX	DCX	DCX	DCX	-0.09720619	46.20193442	Y	36.15393881
ALG13	ALG13	ALG13	ALG13	ALG13	-0.999300439	8.368719038	N	51.40327632
TRPC5	TRPC5	TRPC5	TRPC5	TRPC5	-0.466531444	23.51380042	N	4.089376054
LHFPL1	LHFPL1	LHFPL1	LHFPL1	LHFPL1	0.237127192	68.98443029	Y	62.82823416
AMOT	AMOT	AMOT	AMOT	AMOT	0.222355725	68.44184949	N	72.0248133
HTR2C	HTR2C	HTR2C	HTR2C	HTR2C	-0.271755481	34.31823543	N	23.94001445
IL13RA2	IL13RA2	IL13RA2	IL13RA2	IL13RA2	0.12689526	63.00424628	Y	76.55384245
LUZP4	LUZP4	LUZP4	LUZP4	LUZP4	0.483275131	79.25218212	N	59.17248856
PLS3	PLS3	PLS3	PLS3	PLS3	-0.404032746	26.53338051	N	3.703926765
AGTR2	AGTR2	AGTR2	AGTR2	AGTR2	0.305084559	72.22811984	N	74.72898097
SLC6A14	SLC6A14	SLC6A14	SLC6A14	SLC6A14	-0.227663163	37.11370606	Y	12.61141894
KLHL13	KLHL13	KLHL13	KLHL13	KLHL13	-0.22584292	37.32012267	N	6.883883402
WDR44	WDR44	WDR44	WDR44	WDR44	-0.159704656	41.90846898	N	6.317754758
IL13RA1	IL13RA1	IL13RA1	IL13RA1	IL13RA1	-0.405853867	26.23260203	Y	96.00698627
ZCCHC12	ZCCHC12	ZCCHC12	ZCCHC12	ZCCHC12	-0.293801652	32.93819297	N	26.87906529
LONRF3	LONRF3	LONRF3	LONRF3	LONRF3	-0.157884861	42.05590941	N	29.8964105
PGRMC1	PGRMC1	PGRMC1	PGRMC1	PGRMC1	0.125076652	62.7388535	Y	56.12503011
SLC25A43	SLC25A43	SLC25A43	SLC25A43	SLC25A43	0.281220278	71.07808445	Y	29.0953987
SLC25A5	SLC25A5	SLC25A5	SLC25A5	SLC25A5	-0.031067188	51.03798066	Y	2.08383522
CXorf56	CXorf56	CXorf56	CXorf56	CXorf56	0.035072054	56.2514744	Y	22.28378704
UBE2A	UBE2A	UBE2A	UBE2A	UBE2A	0.145304857	63.81221986	N	Unassessed
SEPT6	SEPT6	SEPT6	SEPT6	SEPT6	-0.251530012	35.42108988	Y	9.871115394
RPL39	RPL39	RPL39	RPL39	RPL39	0.145304857	63.81221986	N	Unassessed
UPF3B	UPF3B	UPF3B	UPF3B	UPF3B	0.016664174	55.21939137	Y	45.36858588
RNF113A	RNF113A	RNF113A	RNF113A	RNF113A	0.547599505	81.2160887	N	57.26933269
NDUFA1	NDUFA1	NDUFA1	NDUFA1	NDUFA1	0.279402865	70.86577023	Y	31.93206456
AKAP14	AKAP14	AKAP14	AKAP14	AKAP14	0.080983847	59.76055674	Y	87.94266442
NKAP	NKAP	NKAP	NKAP	NKAP	-0.251530012	35.42108988	Y	29.11948928
RHOXF1	RHOXF1	RHOXF1	RHOXF1	RHOXF1	-0.029247611	51.40363293	Y	22.71139484
ZBTB33	ZBTB33	ZBTB33	ZBTB33	ZBTB33	0.238945317	69.20853975	N	76.0539629
FAM70A	TMEM255A	TMEM255A	TMEM255A	TMEM255A	-0.205617011	38.57631517	Y	Unassessed
ATP1B4	ATP1B4	ATP1B4	ATP1B4	ATP1B4	0.17280645	65.75843359	N	50.08431703
LAMP2	LAMP2	LAMP2	LAMP2	LAMP2	0.106667882	61.73036093	N	63.76174416
MCTS1	MCTS1	MCTS1	MCTS1	MCTS1	0.323496558	72.93583392	Y	24.81932065
C1GALT1C1	C1GALT1C1	C1GALT1C1	C1GALT1C1	C1GALT1C1	0.525552348	80.57914603	N	88.49674777
GLUD2	GLUD2	GLUD2	GLUD2	GLUD2	0.150760231	64.51403633	N	82.14285714
GRIA3	GRIA3	GRIA3	GRIA3	GRIA3	-0.115612493	45.12856806	N	17.41146712
XIAP	XIAP	XIAP	XIAP	XIAP	0.016664174	55.21939137	Y	47.84389304
STAG2	STAG2	STAG2	STAG2	STAG2	-0.626318434	17.03231894	N	11.71404481
SH2D1A	SH2D1A	SH2D1A	SH2D1A	SH2D1A	0.057118534	57.99716914	Y	2.824620573
ODZ1	TENM1	TENM1	TENM1	TENM1	-1.688698506	2.618542109	N	Unassessed
DCAF12L1	DCAF12L1	DCAF12L1	DCAF12L1	DCAF12L1	-0.337894035	30.37272942	N	25.76487593
ACTRT1	ACTRT1	ACTRT1	ACTRT1	ACTRT1	0.374860183	75.43052607	N	83.74488075
SMARCA1	SMARCA1	SMARCA1	SMARCA1	SMARCA1	-0.380166007	27.88393489	N	18.88099253
XPNPEP2	XPNPEP2	XPNPEP2	XPNPEP2	XPNPEP2	-0.376526807	28.10804435	N	40.60467357
SASH3	SASH3	SASH3	SASH3	SASH3	-0.448125345	24.19202642	N	9.961455071
UTP14A	UTP14A	UTP14A	UTP14A	UTP14A	0.396906589	76.30927105	N	62.97277764
BCORL1	BCORL1	BCORL1	BCORL1	BCORL1	-2.120333794	1.52158528	N	37.38255842
ELF4	ELF4	ELF4	ELF4	ELF4	-0.113792788	45.25831564	N	74.41580342
AIFM1	AIFM1	AIFM1	AIFM1	AIFM1	-0.26993514	34.59542345	N	12.54516984
RAB33A	RAB33A	RAB33A	RAB33A	RAB33A	0.125076652	62.7388535	Y	18.91110576
ZNF280C	ZNF280C	ZNF280C	ZNF280C	ZNF280C	-0.492218069	22.35786742	N	4.781980246
SLC25A14	SLC25A14	SLC25A14	SLC25A14	SLC25A14	-0.141298762	42.87567823	Y	5.046976632
GPR119	GPR119	GPR119	GPR119	GPR119	0.260991686	70.25831564	N	28.05950373
ENOX2	ENOX2	ENOX2	ENOX2	ENOX2	-0.426079032	25.36565228	N	57.55841966
ARHGAP36	ARHGAP36	ARHGAP36	ARHGAP36	ARHGAP36	-0.758599262	13.32861524	N	63.82197061
IGSF1	IGSF1	IGSF1	IGSF1	IGSF1	-0.615405356	17.47464025	N	32.61262346
MST4	MST4	MST4	MST4	MST4	-0.139478553	43.29440906	Y	27.87882438
RAP2C	RAP2C	RAP2C	RAP2C	RAP2C	-0.009020804	52.8544468	Y	9.076126235
MBNL3	MBNL3	MBNL3	MBNL3	MBNL3	-0.251530012	35.42108988	Y	46.16959769
USP26	USP26	USP26	USP26	USP26	0.464864541	78.69190847	N	51.70440858
TFDP3	TFDP3	TFDP3	TFDP3	TFDP3	0.729426781	86.17008728	N	81.05878102
GPC4	GPC4	GPC4	GPC4	GPC4	-0.071520315	48.34866714	N	92.77282583
GPC3	GPC3	GPC3	GPC3	GPC3	-0.448125345	24.19202642	N	47.60298723
PHF6	PHF6	PHF6	PHF6	PHF6	-0.031067188	51.03798066	Y	25.91544206
HPRT1	HPRT1	HPRT1	HPRT1	HPRT1	-0.009020804	52.8544468	Y	6.667068176
PLAC1	PLAC1	PLAC1	PLAC1	PLAC1	-0.075159878	47.78839349	Y	67.4355577
FAM122B	FAM122B	FAM122B	FAM122B	FAM122B	0.347360312	73.97381458	Y	18.07998073
FAM122C	FAM122C	FAM122C	FAM122C	FAM122C	0.347360312	73.97381458	Y	94.58564201
MOSPD1	MOSPD1	MOSPD1	MOSPD1	MOSPD1	-0.009020804	52.8544468	Y	22.42230788
ZNF75D	ZNF75D	ZNF75D	ZNF75D	ZNF75D	-0.093566408	46.7386176	N	63.97855938
ZNF449	ZNF449	ZNF449	ZNF449	ZNF449	-0.648365105	16.35999056	N	11.13587087
SAGE1	SAGE1	SAGE1	SAGE1	SAGE1	0.005534202	54.09884407	N	72.40423994
MMGT1	MMGT1	MMGT1	MMGT1	MMGT1	0.079165051	59.43029016	Y	39.58684654
SLC9A6	SLC9A6	SLC9A6	SLC9A6	SLC9A6	-0.183570861	39.95046001	Y	7.130811853
FHL1	FHL1	FHL1	FHL1	FHL1	-0.029247611	51.40363293	Y	15.30956396
BRS3	BRS3	BRS3	BRS3	BRS3	-0.361761279	28.6329323	Y	50.12647555
HTATSF1	HTATSF1	HTATSF1	HTATSF1	HTATSF1	-0.025608647	51.91672564	N	14.93013732
VGLL1	VGLL1	VGLL1	VGLL1	VGLL1	-0.073340031	48.11866006	Y	37.25608287
CD40LG	CD40LG	CD40LG	CD40LG	CD40LG	-0.029247611	51.40363293	Y	31.72729463
ARHGEF6	ARHGEF6	ARHGEF6	ARHGEF6	ARHGEF6	0.64123826	83.97617363	N	36.77427126
RBMX	RBMX	RBMX	RBMX	RBMX	0.325313577	73.11276244	Y	72.47651168
GPR101	GPR101	GPR101	GPR101	GPR101	0.663285274	84.55414013	N	53.13177548
ZIC3	ZIC3	ZIC3	ZIC3	ZIC3	0.613741468	83.06794055	N	18.75451698
FGF13	FGF13	FGF13	FGF13	FGF13	-0.207437529	38.2814343	Y	3.005299928
F9	F9	F9	F9	F9	-0.0274281	51.65723048	N	36.29848229
MCF2	MCF2	MCF2	MCF2	MCF2	0.86534717	88.80042463	N	52.38496748
ATP11C	ATP11C	ATP11C	ATP11C	ATP11C	-0.312207497	32.05944798	N	49.439894
CDR1	CDR1	CDR1	CDR1	CDR1	0.148941568	64.31941496	Y	83.1245483
LDOC1	LDOC1	LDOC1	LDOC1	LDOC1	0.12325821	62.38499646	N	Unassessed
SPANXC	SPANXC	SPANXC	SPANXC	SPANXC	1.525013597	95.4824251	N	97.45844375
SPANXD	SPANXD	SPANXD	SPANXD	SPANXD	1.216305531	93.13517339	N	89.64707299
MAGEC3	MAGEC3	MAGEC3	MAGEC3	MAGEC3	1.35769336	94.43854683	N	72.42230788
MAGEC2	MAGEC2	MAGEC2	MAGEC2	MAGEC2	-0.181750739	40.15687662	N	61.32257287
SLITRK4	SLITRK4	SLITRK4	SLITRK4	SLITRK4	-0.780646273	12.77423921	N	44.36280414
SLITRK2	SLITRK2	SLITRK2	SLITRK2	SLITRK2	-0.778825328	12.88039632	N	20.28426885
CXorf1	TMEM257	TMEM257	TMEM257	TMEM257	0.435547893	77.45340882	Y	Unassessed
FMR1	FMR1	FMR1	FMR1	FMR1	0.260991686	70.25831564	N	10.726331
FMR1NB	FMR1NB	FMR1NB	FMR1NB	FMR1NB	-0.161524709	41.6430762	Y	51.72247651
AFF2	AFF2	AFF2	AFF2	AFF2	-1.083859071	7.195093182	N	42.76078053
IDS	IDS	IDS	IDS	IDS	0.376678994	75.50719509	N	66.67670441
CXorf40A	CXorf40A	CXorf40A	CXorf40A	CXorf40A	0.080983847	59.76055674	Y	26.01782703
MAGEA8	MAGEA8	MAGEA8	MAGEA8	MAGEA8	0.439181676	77.69521113	N	78.27029631
MTM1	MTM1	MTM1	MTM1	MTM1	-0.516085732	21.20193442	N	16.14671164
MTMR1	MTMR1	MTMR1	MTMR1	MTMR1	-0.093566408	46.7386176	N	27.18019754
CD99L2	CD99L2	CD99L2	CD99L2	CD99L2	-0.271755481	34.31823543	N	28.70994941
PRRG3	PRRG3	PRRG3	PRRG3	PRRG3	0.617373774	83.25076669	N	83.47988437
FATE1	FATE1	FATE1	FATE1	FATE1	-0.161524709	41.6430762	Y	91.44182125
CNGA2	CNGA2	CNGA2	CNGA2	CNGA2	0.492370491	79.60603916	N	77.11394845
MAGEA4	MAGEA4	MAGEA4	MAGEA4	MAGEA4	1.063778722	91.58410002	N	43.68826789
GABRE	GABRE	GABRE	GABRE	GABRE	1.820761234	97.009908	N	85.16020236
MAGEA10	MAGEA10	MAGEA10	MAGEA10	MAGEA10	0.260991686	70.25831564	N	46.93447362
GABRA3	GABRA3	GABRA3	GABRA3	GABRA3	-0.05129383	49.75819769	Y	8.630450494
GABRQ	GABRQ	GABRQ	GABRQ	GABRQ	-0.758599262	13.32861524	N	90.20717899
MAGEA6	MAGEA6	MAGEA6	MAGEA6	MAGEA6	0.863528995	88.74144845	N	70.42278969
MAGEA12	MAGEA12	MAGEA12	MAGEA12	MAGEA12	0.060756528	58.52795471	Y	67.5560106
CSAG1	CSAG1	CSAG1	CSAG1	CSAG1	0.924227736	89.61429582	N	96.71163575
MAGEA3	MAGEA3	MAGEA3	MAGEA3	MAGEA3	-0.069700724	48.54328851	N	56.89592869
CETN2	CETN2	CETN2	CETN2	CETN2	-0.053113545	49.38664779	Y	7.486147916
NSDHL	NSDHL	NSDHL	NSDHL	NSDHL	-0.201976964	38.98325077	N	65.68296796
PNMA5	PNMA5	PNMA5	PNMA5	PNMA5	-0.025608647	51.91672564	N	28.52927006
MAGEA1	MAGEA1	MAGEA1	MAGEA1	MAGEA1	1.104245073	91.95564992	N	81.80558901
BGN	BGN	BGN	BGN	BGN	-0.159704656	41.90846898	N	10.26860997
ATP2B3	ATP2B3	ATP2B3	ATP2B3	ATP2B3	-1.679229468	2.677518283	N	19.10985305
SLC6A8	SLC6A8	SLC6A8	SLC6A8	SLC6A8	-0.736552314	13.93606983	N	2.077812575
BCAP31	BCAP31	BCAP31	BCAP31	BCAP31	-0.007201372	53.19061099	Y	11.33461816
ABCD1	ABCD1	ABCD1	ABCD1	ABCD1	-0.53631094	20.53550366	N	16.42977596
PLXNB3	PLXNB3	PLXNB3	PLXNB3	PLXNB3	-0.705742265	14.72045294	N	44.84461576
IDH3G	IDH3G	IDH3G	IDH3G	IDH3G	0.060756528	58.52795471	Y	2.90291496
SSR4	SSR4	SSR4	SSR4	SSR4	0.013025609	54.62962963	Y	21.18164298
PDZD4	PDZD4	PDZD4	PDZD4	PDZD4	-0.380166007	27.88393489	N	7.323536497
L1CAM	L1CAM	L1CAM	L1CAM	L1CAM	-1.304353358	4.91861288	N	21.38641291
AVPR2	AVPR2	AVPR2	AVPR2	AVPR2	1.087645262	91.8494928	N	31.31173211
ARHGAP4	ARHGAP4	ARHGAP4	ARHGAP4	ARHGAP4	0.159856957	64.91507431	N	58.67863166
NAA10	NAA10	NAA10	NAA10	NAA10	-0.031067188	51.03798066	Y	0.83112503
RENBP	RENBP	RENBP	RENBP	RENBP	0.995816767	90.62278839	N	41.44784389
TMEM187	TMEM187	TMEM187	TMEM187	TMEM187	0.018483465	55.44939844	N	62.11153939
IRAK1	IRAK1	IRAK1	IRAK1	IRAK1	0.687150476	85.17928757	N	22.34401349
MECP2	MECP2	MECP2	MECP2	MECP2	-0.885424753	10.4623732	N	8.395567333
OPN1LW	OPN1LW	OPN1LW	OPN1LW	OPN1LW	0.839664339	88.29912715	N	26.81281619
EMD	EMD	EMD	EMD	EMD	-0.05129383	49.75819769	Y	16.38761744
RPL10	RPL10	RPL10	RPL10	RPL10	0.035072054	56.2514744	Y	1.210551674
DNASE1L1	DNASE1L1	DNASE1L1	DNASE1L1	DNASE1L1	-0.0274281	51.65723048	N	16.35148157
TAZ	TAZ	TAZ	TAZ	TAZ	0.080983847	59.76055674	Y	4.679595278
FAM50A	FAM50A	FAM50A	FAM50A	FAM50A	-0.007201372	53.19061099	Y	21.50084317
PLXNA3	PLXNA3	PLXNA3	PLXNA3	PLXNA3	-2.494487417	0.937721161	N	24.59648278
UBL4A	UBL4A	UBL4A	UBL4A	UBL4A	-0.053113545	49.38664779	Y	32.06456276
SLC10A3	SLC10A3	SLC10A3	SLC10A3	SLC10A3	-0.337894035	30.37272942	N	32.22115153
G6PD	G6PD	G6PD	G6PD	G6PD	-0.135838822	43.77211607	N	45.14574801
CTAG2	CTAG2	CTAG2	CTAG2	CTAG2	0.905808022	89.4373673	N	95.49506143
GAB3	GAB3	GAB3	GAB3	GAB3	-0.049474214	50.01179523	N	55.65526379
DKC1	DKC1	DKC1	DKC1	DKC1	0.104848986	61.49445624	Y	4.179715731
MPP1	MPP1	MPP1	MPP1	MPP1	-0.181750739	40.15687662	N	21.76583956
FUNDC2	FUNDC2	FUNDC2	FUNDC2	FUNDC2	-0.031067188	51.03798066	Y	32.69091785
MTCP1NB	CMC4	CMC4	CMC4	CMC4	0.279402865	70.86577023	Y	Unassessed
VBP1	VBP1	VBP1	VBP1	VBP1	-0.009020804	52.8544468	Y	2.758371477
RAB39B	RAB39B	RAB39B	RAB39B	RAB39B	0.013025609	54.62962963	Y	0.289086967
CLIC2	CLIC2	CLIC2	CLIC2	CLIC2	0.191216164	66.57230479	Y	18.67019995
TMLHE	TMLHE	TMLHE	TMLHE	TMLHE	-0.139478553	43.29440906	Y	69.92291014
SPRY3	SPRY3	SPRY3	SPRY3	SPRY3	-0.271755481	34.31823543	N	34.58805107
VAMP7	VAMP7	VAMP7	VAMP7	VAMP7	0.148941568	64.31941496	Y	66.76102144
IL9R	IL9R	IL9R	IL9R	IL9R	0.824892996	88.06912008	N	33.95567333
KLHL17	KLHL17	KLHL17	KLHL17	KLHL17	-2.653369885	0.754895022	N	16.45988918
AGRN	AGRN	AGRN	AGRN	AGRN	-0.224542487	37.33191791	N	48.79547097
GLTPD1	GLTPD1	GLTPD1	GLTPD1	GLTPD1	0.106667882	61.73036093	N	52.82462057
TAS1R3	TAS1R3	TAS1R3	TAS1R3	TAS1R3	-1.999300124	1.739797122	N	50.68658155
CCNL2	CCNL2	CCNL2	CCNL2	CCNL2	7.61128E-05	53.98089172	N	50.03011323
NADK	NADK	NADK	NADK	NADK	-0.111973265	45.35857514	N	12.97277764
CALML6	CALML6	CALML6	CALML6	CALML6	0.128714042	63.19886766	N	25.52397013
MMEL1	MMEL1	MMEL1	MMEL1	MMEL1	-0.657684922	16.09459778	N	85.41315346
CEP104	CEP104	CEP104	CEP104	CEP104	-0.145152788	42.33899505	N	53.10166225
CAMTA1	CAMTA1	CAMTA1	CAMTA1	CAMTA1	-2.133443765	1.503892427	N	30.90219224
SLC45A1	SLC45A1	SLC45A1	SLC45A1	SLC45A1	-2.035711952	1.669025714	N	19.76029872
CA6	CA6	CA6	CA6	CA6	0.773521534	87.06062751	N	47.50060226
TMEM201	TMEM201	TMEM201	TMEM201	TMEM201	0.044168103	57.40740741	N	63.79185738
PEX14	PEX14	PEX14	PEX14	PEX14	-0.488577883	22.64685067	N	20.68176343
MFN2	MFN2	MFN2	MFN2	MFN2	-0.773369631	13.10450578	N	29.02312696
VPS13D	VPS13D	VPS13D	VPS13D	VPS13D	-4.233186317	0.135645199	N	37.86437003
AADACL4	AADACL4	AADACL4	AADACL4	AADACL4	-0.622676946	17.31540458	N	59.91929656
HNRNPCL1	HNRNPCL1	HNRNPCL1	HNRNPCL1	HNRNPCL1	1.194256079	92.88747346	N	84.13635269
PRAMEF4	PRAMEF4	PRAMEF4	PRAMEF4	PRAMEF4	3.532159363	99.48100967	N	94.36882679
PDPN	PDPN	PDPN	PDPN	PDPN	0.020302773	55.60863411	N	32.77523488
CELA2B	CELA2B	CELA2B	CELA2B	CELA2B	0.306902668	72.38145789	N	64.97831848
