GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	%ExAC_0.1%popn	%ExAC_0.05%popn	%ExAC_0.01%
C17orf49	-0.05	55.48	-0.12	44.54	-0.03	47.43	0.14	61.38	-0.19	41.39	-0.11	51.62	0.06	55.51	0.04	61.25	-1.92	4.58	23.68	34.21	25.48
C17orf51	0.07	64.84	0.08	59.43	0.15	59.34	0.29	73.48	0.15	63.94	0.1	67.97	0.06	55.51	0.04	61.25	-3.52	0.69	NA	NA	NA
C17orf53	0.27	74.35	0.2	67.43	0.88	88.81	0.24	69.29	0.33	73.08	-0.45	23.73	0.37	73.75	0.28	73.84	NA	NA	81.19	84.25	86.72
C17orf58	0.79	88.32	0.66	84.27	0.15	59.99	0.75	90.22	0.57	81.74	0.42	79.89	0.8	87.36	0.81	88.06	NA	NA	55.59	42.67	45.95
C17orf61	0.42	79.94	0.48	78.95	0.13	58.4	0.51	83.61	0.29	71.41	-0.05	57.34	0.31	70.74	0.42	78.89	NA	NA	51.71	53.01	47.17
C17orf62	0.05	63.48	-0.09	46.74	0.1	56.51	-0.22	32.69	0.07	59.28	0.1	67.67	-0.01	50.36	-0.33	31.71	NA	NA	77.85	87.10	84.66
C17orf64	0.19	71.21	0.37	75.12	-0.08	44.38	0.82	91.48	0.27	70.41	-0.3	34.73	0.13	60.51	0.15	68.34	NA	NA	57.62	45.21	48.16
C17orf66	0.3	75.46	0.98	90.43	1.1	92.26	0.56	85.33	0.67	84.14	0.29	74.69	1.77	97.02	0.69	85.9	NA	NA	96.21	96.71	94.37
C17orf67	0.35	77.59	0.61	83.07	0.36	72.17	0.71	89.46	0.32	72.92	0.51	82.57	0.81	87.57	0.27	73.56	NA	NA	NA	NA	NA
C17orf70	0.58	84.02	0.36	74.71	-0.28	32.05	0.5	83.28	0.35	73.9	0.15	68.88	-0.4	25.87	0.08	63.9	NA	NA	63.94	50.66	54.91
C17orf72	0.02	61.78	0.26	69.83	0.75	85.82	0.24	69.83	NA	NA	NA	NA	NA	NA	NA	NA	1.07	89.85	NA	NA	NA
C17orf74	0.67	86.02	0.67	84.68	0.55	79.68	0.8	91.14	0.67	84.14	0.82	88.79	0	50.96	0.27	73.66	NA	NA	87.04	85.51	95.22
C17orf77	1.17	92.85	1.2	92.92	1.38	95.09	1.67	98.05	2.27	98.1	1.12	92.45	1.53	95.69	1.33	93.93	NA	NA	94.96	94.34	95.87
C17orf78	0.18	70.58	0.35	74.18	0.17	61.25	0.51	83.79	0.4	76.21	0.31	76.03	-0.01	50.36	0.06	62.42	NA	NA	75.60	64.30	75.01
C17orf79	0.34	76.98	0.1	61.28	0.18	61.63	0.12	59.81	0.29	71.41	0.48	81.98	0.32	71.39	0.27	73.56	NA	NA	59.39	54.63	50.47
C17orf80	1.74	96.26	0.65	84.15	0.79	86.88	-0.56	16.02	0.76	86.29	1.46	94.89	1.2	93.16	1.09	91.87	NA	NA	92.32	89.97	93.57
C17orf81	0.33	76.74	-0.05	50.22	-0.12	41.86	-0.37	23.93	-0.01	54.49	0.29	75.26	0.07	55.79	0.4	78.24	NA	NA	51.90	70.89	41.17
C17orf85	0.01	59.92	0.33	73.41	0.41	74.33	0.31	75.05	0.38	75.31	-0.47	23.43	0.09	57.81	0.35	76.56	NA	NA	57.44	58.83	59.99
C17orf97	1.56	95.41	1.15	92.52	0.71	84.9	0.77	90.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.26	87.19	93.06
C17orf98	0.61	84.74	0.13	63	-0.08	44.38	-0.05	45.37	0.43	77.45	0.87	89.55	0.33	71.95	0.12	66.65	0.44	64.65	58.89	64.15	55.03
C17orf99	0.28	74.82	0.99	90.52	1.33	94.61	1.5	97.49	0.22	68.16	-0.09	53.45	1.06	91.77	0.89	89.38	NA	NA	NA	NA	NA
C1QBP	0.25	73.63	-0.03	51.4	0.52	78.62	0.31	74.81	0.12	62.86	0.38	78.32	0.22	66.59	-0.18	43.38	0.5	67.89	60.77	59.83	57.15
C1QTNF1	-0.12	47.71	-0.36	29.16	-0.24	34.5	-0.42	21.53	-0.3	33.48	-0.13	48.29	-0.44	24.06	-0.45	24.32	NA	NA	47.66	40.15	56.88
CA10	-0.36	29.16	-0.58	18.44	-0.63	17.67	-0.22	32.69	-0.18	42.09	-0.34	31.62	-0.64	17.01	-0.42	25.91	NA	NA	23.61	28.33	32.58
CA4	0.35	77.36	0.22	68.27	0.07	54.23	0.23	69.1	0.03	57.07	0.08	66.58	-0.14	40.84	-0.18	41.72	NA	NA	50.46	72.35	70.53
CACNA1G	-2.48	0.61	-2.37	1.11	-3.8	0.41	-1.43	3.48	-3.14	0.39	-2.69	0.42	-3.21	0.53	-2.64	0.61	NA	NA	0.92	1.00	0.58
CACNB1	-0.66	14.11	-0.56	19.73	-0.6	18.49	-0.28	28.77	0.42	76.81	-0.68	14.01	-0.67	16.31	-0.75	12.68	NA	NA	16.88	15.99	14.59
CACNG1	0.42	79.85	-0.16	41.91	0.56	80.26	0.31	75.05	0.07	59.28	0.1	67.67	-0.15	40.41	0.35	76.56	NA	NA	30.72	43.83	52.05
CACNG4	-0.42	25.38	-0.18	40.16	-0.79	13.42	0.01	49.88	-0.72	14.83	-0.45	24.65	-0.01	50.36	0.06	62.42	NA	NA	38.56	23.75	33.05
CACNG5	-0.14	46.38	-0.14	43.77	0.16	60.24	0.43	80.74	-0.51	22.35	-0.02	57.92	0.6	82.51	-0.72	13.42	NA	NA	60.10	51.27	67.00
CALCOCO2	0.86	89.28	0.62	83.25	-0.23	34.9	0.63	87.69	1.4	94.62	1.29	93.92	0.49	78.77	0.68	85.63	NA	NA	74.60	65.25	60.80
CAMKK1	-0.42	24.76	-0.58	18.78	-1.38	5.42	-0.48	18.87	-0.85	11.7	-0.24	38.63	-0.71	15.15	-0.55	19.04	NA	NA	9.77	9.58	15.03
CAMTA2	-0.74	11.62	-0.97	8.98	0.06	53.3	-0.75	10.85	-0.16	42.61	-0.47	22.39	-0.8	12.59	0.29	74.29	NA	NA	9.10	17.50	39.41
CANT1	-0.35	29.49	0.02	55.69	-0.45	24.21	-0.4	22.41	0.87	88.7	-0.64	15.52	-0.6	18.1	-0.64	15.79	NA	NA	59.97	69.86	57.18
CARD14	1.28	93.67	0.89	89.08	0.54	79.6	-1.18	5.29	-0.46	24.28	0.74	86.98	-0.42	24.88	0.89	89.25	NA	NA	83.01	95.48	92.23
CASC3	-0.72	12.33	-0.89	10.37	-1.05	8.7	-0.34	24.96	-0.48	24	-0.53	20.14	-1.35	5.14	-0.87	9.64	NA	NA	5.22	10.52	4.47
CASKIN2	-1.79	1.62	-0.52	20.97	-1.14	7.67	-0.05	44.72	-1.24	5.61	-1.44	2.58	-0.84	11.85	-1.45	3.29	NA	NA	30.12	72.10	78.00
CBX1	0.05	64.03	0.06	58	-0.04	46.72	0.27	72.42	0.08	60.11	0.06	65.58	0.11	58.99	0.07	63.34	-2.5	2.41	47.50	44.37	45.17
CBX2	-0.53	19.21	-0.66	16.07	-1.23	6.65	0.06	53.91	-0.96	9.16	-0.79	10.46	-1.15	6.97	-0.39	27.72	NA	NA	10.09	11.63	24.09
CBX4	-0.39	27.26	0.11	61.73	-0.42	25.5	0.33	76.03	0.3	72	-0.28	36.38	-0.29	31.79	-0.51	21.08	NA	NA	37.97	22.91	19.98
CBX8	-0.05	54.71	0	53.73	-0.18	37.81	-0.04	45.77	0.55	81.07	0.7	86.62	0.1	58.23	-0.18	41.72	NA	NA	59.13	60.67	56.80
CCDC103	-0.23	38.75	-0.38	27.42	0.32	69.81	-0.06	44.03	0.12	62.86	-0.15	47.68	0.04	53.75	-0.3	33.66	0.57	71.28	47.80	51.40	42.47
CCDC137	2.34	98.1	1.06	91.58	0.45	75.88	0.13	60.5	1.69	96.22	2.58	98.42	0.99	90.68	2.07	97.34	NA	NA	78.62	92.67	69.79
CCDC144NL	0.07	65.04	1.27	93.6	1.92	97.86	0.49	82.83	0.43	77.09	-0.38	27.76	1.1	92.27	1.44	94.71	NA	NA	98.05	97.23	98.93
CCDC40	-0.51	19.85	1.89	97.28	0.87	88.65	0.67	88.43	-1.27	5.28	-1.66	1.77	0.4	74.95	1.1	91.88	NA	NA	97.59	94.81	98.29
CCDC42	0.62	84.87	0.73	86.21	0.68	84.2	0.64	87.74	0.18	65.71	0.46	80.95	0.95	90.08	1.5	95.1	NA	NA	93.43	87.46	87.16
CCDC43	-0.15	45.9	-0.25	35.42	0.12	57.99	0.04	52.37	-0.42	26.73	-0.26	38.17	0.55	80.99	0.04	61.25	2.13	99.36	51.12	44.83	56.57
CCDC47	-0.55	18.49	-0.62	17.16	-0.43	25.17	-0.14	37.72	-0.58	19.72	-0.6	17.16	-0.44	24.06	-0.45	24.32	NA	NA	23.32	14.52	11.62
CCDC56	-0.03	56.85	-0.08	47.79	0.45	75.7	0.17	64.34	0.26	69.87	-0.07	55.41	-0.03	48.73	-0.02	56.24	NA	NA	47.99	41.12	71.27
CCL1	-0.06	54.08	0.13	62.74	-0.07	44.8	0.14	61.38	-0.09	48.54	-0.05	57.34	0.12	59.86	0.3	74.67	-0.2	34.97	58.58	64.03	52.42
CCL11	0.72	86.98	0.3	72.01	0.24	65.68	0.09	56.76	0.16	64.82	0.4	79.08	0.41	75.68	0.72	86.42	0.77	80.04	61.96	50.91	73.62
CCL13	0.76	87.79	0.37	74.95	0.22	64.23	0.14	61.38	-0.16	43.78	-0.09	53.45	0.61	82.73	0.69	85.81	0.12	49.04	67.75	75.52	67.74
CCL14	0.73	87.23	0.57	81.89	0.57	80.73	0.97	93.74	0.5	79.81	0.91	90.02	0.71	85.62	0.59	83.77	NA	NA	76.26	70.91	82.44
CCL15	0.34	76.98	0.35	73.97	0.62	82.18	0.12	59.81	0.63	83.48	0.46	81.29	0.51	79.71	0.24	72.41	2.06	99.3	88.07	88.68	88.52
CCL16	0.34	76.98	0.35	73.97	0.03	51.87	0.41	79.62	0.19	66.52	0.42	79.89	0.41	75.68	0.33	75.84	0.53	69.4	85.75	87.04	80.10
CCL18	-0.02	58.07	0.19	66.57	0.19	62.67	0.47	82.41	-0.09	48.54	-0.05	57.34	0.46	77.54	0.36	76.95	1.58	97.47	63.24	68.87	65.06
CCL2	-0.05	55.48	-0.1	46.2	0.26	66.51	0.15	62.8	-0.06	51	-0.02	59.11	0.12	59.86	-0.08	50.87	0.14	50.01	65.45	59.40	67.31
CCL23	0.71	86.74	0.28	71.08	0.2	63.27	0.36	77.52	0.67	84.33	1.01	91.35	0.33	71.95	0.12	66.65	-0.24	33.32	73.54	72.34	64.50
CCL3	0.29	75.38	0.28	71.08	0.2	63.27	0.07	55.44	0.26	69.87	-0.07	55.41	0.33	71.95	0.12	66.65	-0.13	37.73	70.66	68.87	76.44
CCL4	-0.08	52.75	0.1	61.28	0.18	61.63	0.12	59.81	0.63	83.48	0.46	81.29	0.02	53.09	-0.15	45.89	0.5	68.15	73.60	77.03	82.77
CCL5	-0.06	54.08	-0.12	44.54	-0.07	44.8	0.14	61.38	-0.06	51	-0.02	59.11	-0.13	42.03	-0.08	50.87	0.71	77.72	69.33	72.37	75.17
CCL7	-0.03	56.85	-0.08	47.79	0.45	75.7	0.17	64.34	0.04	58.08	0.04	64.23	0.32	71.39	-0.12	48.49	1.16	91.88	76.75	66.35	79.30
CCL8	0.66	85.97	0.7	85.42	0.52	78.62	0.31	74.81	1.01	90.8	0.99	91.11	0.68	84.72	0.41	78.67	NA	NA	81.40	76.37	75.12
CCR10	0.34	76.98	0.3	72.01	0.18	61.63	0.39	78.9	NA	NA	NA	NA	NA	NA	NA	NA	0.95	86.8	51.62	45.49	42.06
CCR7	-0.05	54.71	-0.51	21.41	-0.62	17.97	-0.35	24.69	-0.35	30.95	0.08	66.58	-0.44	24.06	-0.45	24.32	NA	NA	25.19	20.62	16.60
CCT6B	0.59	84.15	0.2	67.3	0.46	76.2	0.6	86.8	0.73	85.84	0.87	89.39	0.5	79.03	0.52	81.96	NA	NA	85.95	84.18	67.59
CD300A	-0.05	54.71	-0.25	35.99	-0.33	29.75	-0.33	25.66	-0.07	49.76	0.02	61.88	-0.35	28.67	0	57.39	NA	NA	50.03	61.06	54.80
CD300C	0.11	67.24	0.24	69.21	0.12	57.55	0.14	61.86	-0.15	44.43	0.21	71.91	0.63	83.41	0.38	77.69	NA	NA	65.27	54.80	61.92
CD300E	0.9	89.86	0.66	84.44	0.03	52.05	0.67	88.42	0.4	76.21	0.84	89.23	0.5	79.03	1.29	93.7	NA	NA	NA	NA	NA
CD300LB	-0.22	39.8	0.13	63	0.07	54.1	0.53	84.47	-0.08	49.36	-0.28	36.38	-0.16	39.78	-0.27	35.97	-0.62	21.08	NA	NA	NA
CD300LD	0.56	83.63	0.31	72.23	0.24	65.32	0.19	66.09	0.37	74.91	0.82	88.88	0.53	80.2	0.86	88.93	NA	NA	92.68	88.40	80.28
CD300LF	0.69	86.38	0.35	74.49	0.45	75.88	0.14	62.03	0.52	80.31	0.97	90.76	0.35	72.77	0.97	90.36	NA	NA	67.13	82.39	87.19
CD300LG	0.6	84.57	-0.29	33.34	0.5	77.75	-0.26	29.85	0.89	89.12	1.2	93.32	0.78	86.89	-0.32	32.05	NA	NA	86.25	83.34	79.06
CD68	1.19	92.98	0.46	78.59	0.11	57.07	0.52	83.97	0.41	76.62	1.14	92.67	0.25	68	1.29	93.7	NA	NA	54.29	40.62	43.71
CD7	0.01	59.92	0.55	81.48	0.56	80.26	0.6	86.71	-0.28	35.31	0.12	68.73	0.54	80.6	0.32	75.45	NA	NA	85.73	81.18	72.47
CD79B	-0.28	35.17	-0.45	24	-0.1	43.29	-0.11	39.74	-0.39	28.47	-0.24	39.98	-0.3	31.21	-0.36	29.59	0.09	47.77	28.78	52.30	42.51
CDC27	-0.22	39.8	-0.12	44.89	-0.22	35.28	0.24	70.23	-0.08	49.36	-0.28	36.38	-0.22	36.04	-0.15	45.89	-0.4	27.73	99.54	99.24	99.31
CDC42EP4	-0.66	14.11	-0.56	19.73	-0.6	18.49	-0.28	28.77	-0.96	9.36	-0.6	17.16	-0.23	35.31	-0.4	26.66	NA	NA	68.20	77.28	66.83
CDC6	0.38	78.46	0.26	70.44	-0.14	40.39	0.55	85.12	0.34	73.83	0.57	84.01	0.43	76.7	0.41	78.67	NA	NA	30.58	14.85	15.27
CDK12	-0.3	33.14	-1.17	6.06	-1.61	3.8	-0.14	37.41	-1.82	2.23	-0.85	8.94	-0.76	13.75	-0.45	24.4	NA	NA	2.28	1.99	1.10
CDK3	-0.41	26.34	-0.16	41.91	0.12	58.09	-0.27	29.64	-0.48	24	-0.53	20.14	0.08	57.16	0.12	66.65	NA	NA	62.97	62.26	70.09
CDK5R1	-0.08	52.75	-0.14	42.88	-0.26	33.43	0.12	59.81	-0.12	46.17	-0.07	55.41	-0.13	42.03	-0.08	50.87	-2.41	2.69	26.84	18.95	20.85
CDK5RAP3	-0.03	57.02	0.62	83.47	0.18	61.91	0.08	56.06	-0.02	52.61	-0.19	42.29	0.48	78.45	0.42	78.99	NA	NA	77.38	85.10	49.78
CDR2L	-0.26	36.41	-0.18	39.95	0.09	55.93	-0.1	41.12	-0.04	51.87	-0.26	38.17	-0.16	39.78	-0.27	35.97	0.5	67.65	NA	NA	NA
CDRT1	1.48	94.94	0.85	88.48	1.67	96.86	0.75	90.14	0.5	79.51	1.25	93.58	1.23	93.44	1.43	94.67	NA	NA	98.33	98.28	98.14
CEP112	0.25	73.66	-0.46	23.69	0.83	87.77	-0.55	16.07	-0.48	23.44	-0.19	41.93	-0.79	12.78	-0.24	36.99	NA	NA	81.51	69.64	41.80
CEP95	-0.82	9.94	-0.31	32.15	-0.03	47.7	-0.17	35.47	-0.81	12.54	-0.74	11.96	0.36	73.21	0.05	61.75	NA	NA	37.84	31.97	11.14
CHAD	0.26	73.95	0.33	73.54	0.7	84.57	0.42	80.05	-0.35	30.95	-0.45	24.65	-0.07	45.34	0.31	74.98	NA	NA	78.04	58.47	61.79
CHD3	-1.5	2.6	-2.48	0.97	-2.51	1.17	-1.45	3.38	-1.96	1.78	-1.42	2.7	-2.07	2	-1.43	3.34	NA	NA	0.80	1.26	1.31
CHMP6	-0.28	35.17	-0.47	23.04	-0.24	34.4	-0.13	38.52	-0.39	28.47	-0.24	39.98	-0.4	26.25	-0.42	25.91	-1.88	4.9	32.17	30.28	46.42
CHRNB1	0.26	73.95	-0.4	26.73	-0.32	30.21	-0.45	20	-0.38	29.05	0.06	64.99	0.35	72.77	0.2	70.58	NA	NA	69.73	49.55	42.03
CHRNE	-0.47	22.42	-0.91	10.03	0.1	56.61	-0.53	17.15	-0.8	12.7	-0.45	23.73	-0.76	13.71	-0.81	11.04	NA	NA	24.05	17.58	53.12
CISD3	0.11	67.45	0.39	75.75	0.41	74.15	0.63	87.37	0.15	63.94	0.1	67.97	0.45	77.12	0.51	81.54	NA	NA	NA	NA	NA
CLDN7	0.11	67.24	-0.01	53.51	0.26	66.7	0.14	61.86	-0.11	46.94	0.23	72.83	0.23	67.12	0.06	62.42	NA	NA	76.19	70.65	75.62
CLEC10A	0.77	88.01	1.22	93.16	0.98	90.52	0.82	91.6	1.03	91.12	1.06	91.83	1.42	94.99	1.42	94.58	NA	NA	97.17	95.42	97.59
CLTC	-0.84	9.64	-1.31	4.85	-1.81	2.87	-0.77	10.68	-1.43	4	-0.89	8.32	-0.88	11.19	-0.57	18.55	NA	NA	2.81	1.80	2.98
CNP	-0.58	17.32	-0.42	25.56	-0.65	16.9	-0.18	35.31	-1.09	7.4	-0.68	14.01	-0.34	29.12	-0.15	44.42	NA	NA	31.54	22.00	47.33
CNTD1	0.53	82.97	0.26	70.26	0.3	68.98	-0.13	38.52	-0.15	44.43	-0.32	33.13	0.38	74.58	0.77	87.44	NA	NA	73.07	71.41	73.43
CNTNAP1	-1.39	3.2	-2.3	1.21	-1.46	4.73	-1.89	1.74	-2.19	1.34	-1.61	1.94	-2.43	1.28	-1.82	1.83	NA	NA	0.41	0.73	0.51
CNTROB	0.64	85.4	-0.01	52.35	0.75	85.8	-0.3	27.05	0.52	80.19	0.25	72.89	0.08	56.61	-0.54	19.8	NA	NA	74.61	80.23	81.35
COASY	-0.51	19.96	-0.71	14.67	-0.46	23.87	-0.58	15.39	-0.4	27.59	-0.19	42.29	-0.25	34.17	-0.35	29.97	NA	NA	19.87	18.61	8.77
COG1	-0.32	32.13	0.03	55.84	-0.19	36.92	0.13	60.26	-0.16	42.61	0.06	64.31	-0.55	19.74	0.14	67.72	NA	NA	26.78	39.09	38.34
COIL	0.13	68.41	-0.36	29.31	0.63	82.55	-0.31	26.84	0.08	59.61	-0.13	48.29	0.02	52.47	-0.01	56.62	NA	NA	34.65	44.69	45.32
COL1A1	-1.53	2.48	-1.79	2.26	-1.43	4.95	-0.61	14.14	-1.7	2.61	-1.25	3.86	-1.5	4.13	-1.47	3.19	NA	NA	7.23	3.94	3.75
COPS3	-0.33	31.07	-0.54	20.26	-1.13	7.73	-0.18	35	-0.42	26.73	-0.26	38.17	-0.55	20.05	-0.36	29.59	NA	NA	17.04	21.30	20.14
CORO6	-0.29	34.06	-0.25	35.75	-0.14	40.79	-0.13	38.52	-0.04	51.87	0.27	74.39	-0.45	23.52	-0.3	33.66	NA	NA	17.95	59.59	19.46
COX10	1.3	93.79	0.76	86.75	0.72	84.94	-0.11	40.17	0.7	85.05	0.84	89.05	0.52	79.88	1.38	94.23	NA	NA	86.89	81.04	52.36
COX11	-0.13	47.18	0.01	54.95	-0.13	41.17	0.05	53.89	-0.26	36.72	-0.15	47.68	0.32	71.39	0.27	73.56	-0.42	27.23	32.63	39.35	37.51
CPD	-0.54	18.77	-0.02	52.25	-0.68	16.11	-0.04	46.03	-0.29	33.62	-0.89	8.32	-0.26	33.48	-0.58	17.81	NA	NA	20.93	13.23	8.90
CPSF4L	-0.06	54.08	-0.12	44.54	0.8	87.11	0.14	61.38	-0.16	43.78	-0.09	53.45	0.01	52.23	0.01	58.77	-0.55	23.06	NA	NA	NA
CRHR1	-0.52	19.77	-0.09	46.92	-0.93	10.72	-0.11	40	-0.07	49.76	0.55	83.48	-0.34	29.12	-0.54	19.74	NA	NA	22.23	12.49	14.34
CRK	-0.2	40.89	-0.34	30.07	-0.62	17.86	-0.03	46.77	-0.39	28.47	-0.24	39.98	-0.27	33.32	-0.18	43.38	-2.44	2.58	20.92	18.71	16.67
CRLF3	-0.02	57.41	-0.47	23.25	-0.54	20.65	-0.03	47.18	-0.41	27.28	0.04	63.43	-0.4	26.25	-0.03	54.84	NA	NA	60.54	73.10	36.40
CRYBA1	0.09	66.37	0.44	77.7	0.22	64.41	0.11	58.69	0.65	83.79	0.23	72.83	0.38	74.58	-0.39	27.64	NA	NA	57.54	51.96	42.89
CSF3	-0.32	32.09	0.22	68.13	0.22	64.41	-0.17	36.22	-0.04	51.87	-0.26	38.17	0.09	57.81	0.35	76.56	NA	NA	67.68	79.54	82.90
CSH2	-0.23	38.75	-0.14	43.29	0.75	85.86	0.22	68.79	-0.04	51.87	-0.26	38.17	-0.12	42.85	-0.24	38.27	1.16	91.89	75.44	76.87	82.95
CSHL1	0.2	71.47	1.2	92.95	1.55	96.36	0.04	53.03	0.14	63.66	-0.09	52.13	1.5	95.53	0.99	90.63	NA	NA	96.77	95.93	97.40
CSNK1D	-0.35	30.1	-0.56	19.31	-0.88	11.62	-0.2	33.83	0.13	63.39	-0.38	28.74	-0.55	20.05	-0.36	29.59	NA	NA	26.16	18.39	20.17
CTC1	0.49	81.65	-0.63	16.81	-0.1	43.17	-0.66	12.75	-0.43	25.84	0.42	79.12	-0.26	33.33	-0.46	22.95	NA	NA	40.24	74.04	4.80
CTDNEP1	0.29	75.38	0.04	56.64	-0.09	43.74	0.07	55.44	0.06	58.83	0.34	76.81	0.21	65.81	0.36	76.95	-2.47	2.5	33.68	32.02	28.53
CTNS	0.34	77.11	-0.18	40.56	-0.38	27.66	-0.55	16.54	-0.16	42.82	0.25	73.1	-0.54	20.16	0.01	58.91	NA	NA	82.07	82.27	86.77
CUEDC1	0.19	70.88	-0.27	34.71	-0.67	16.48	-0.24	30.91	-0.68	16.14	-0.13	48.29	0.06	54.68	0.17	69.17	NA	NA	37.46	22.57	29.50
CWC25	0.04	62.41	-0.12	45.13	-0.09	43.84	-0.23	31.65	-0.28	35.31	0.12	68.73	0.43	76.7	-0.36	29.59	NA	NA	90.69	88.69	88.40
CXCL16	0.86	89.28	0.6	82.66	0.5	77.67	1.19	95.83	0.44	77.82	0.63	85.37	1.03	91.29	0.71	86.28	NA	NA	89.24	80.87	82.31
CYB561	-0.33	31.07	-0.54	20.26	-0.69	15.81	-0.18	35	-0.52	21.96	-0.32	33.13	-0.45	23.52	-0.3	33.66	NA	NA	63.49	65.73	66.63
CYB5D1	0.12	68.07	0.26	70.26	0.01	50.37	0.45	81.29	0.65	83.79	0.23	72.83	-0.16	39.78	0.12	66.65	NA	NA	72.43	59.24	64.80
CYB5D2	-0.12	47.71	-0.6	17.91	-0.09	43.42	-0.13	38.79	0.03	57.07	0.08	66.58	-0.19	37.79	-0.6	17.35	NA	NA	31.92	83.34	47.89
CYGB	-0.26	36.41	-0.43	25.15	-0.49	22.43	-0.1	41.12	-0.29	34.57	-0.17	45.6	-0.55	20.05	-0.36	29.59	-0.3	31.17	26.59	27.22	28.94
CYTH1	-0.49	21.37	-0.54	20.54	-0.7	15.69	-0.08	42.99	-0.79	13.03	-0.49	22.26	-0.15	40.41	-0.03	54.84	NA	NA	21.15	22.32	39.12
DBF4B	0.46	80.91	0.24	69.51	1.11	92.35	0.74	90.07	0.08	59.61	-0.13	48.29	0.62	83.17	-0.25	36.37	NA	NA	51.82	67.45	42.38
DCAKD	-0.46	22.89	0.24	69.37	0.84	87.87	0.82	91.6	0.23	68.74	-0.32	33.13	0.11	59.29	-0.72	13.42	NA	NA	71.44	85.33	65.16
DCXR	-0.1	49.88	0.04	56.64	-0.19	37.08	0.07	55.44	0.26	69.87	-0.07	55.41	0.02	53.09	-0.15	45.89	-0.7	19.23	72.83	78.12	73.53
DDX42	-0.94	7.63	-1	8.47	-1.37	5.47	-0.61	14.26	-0.44	25.8	-0.74	11.96	-1.04	8.58	-0.99	7.52	NA	NA	4.13	3.16	4.63
DDX5	-0.19	41.28	-0.71	14.5	-1.46	4.75	-0.5	18.14	-0.38	29.05	0.06	64.99	-0.48	22.63	-0.25	36.93	NA	NA	13.92	9.84	10.17
DDX52	-0.5	20.75	0.05	57.48	1.04	91.34	0.01	50.18	0.36	74.1	0.34	76.35	0.48	78.45	-0.73	13.02	NA	NA	74.16	71.95	48.52
DERL2	-0.08	52.75	-0.14	42.88	-0.11	42.1	0.12	59.81	-0.02	53.64	0	61.1	-0.22	36.04	-0.15	45.89	-1.52	7.5	33.68	26.87	34.72
DGKE	-0.29	33.48	-0.38	28.01	-0.72	14.99	-0.62	14.13	-0.2	40.2	-0.6	17.16	-1.1	7.71	-0.49	21.68	NA	NA	12.10	16.25	14.62
DHRS11	-0.26	36.41	-0.18	39.95	-0.2	36.75	0.19	66.09	0.02	56.56	0.31	76.03	-0.3	31.21	-0.36	29.59	-0.32	30.63	35.19	39.60	38.42
DHRS13	-0.05	54.71	-0.27	34.6	0.25	66.31	-0.35	24.69	-0.38	29.05	0.06	64.99	0.09	57.81	-0.03	54.84	NA	NA	73.41	74.09	84.16
DHRS7B	-0.33	31.07	-0.05	50.01	-0.11	42.29	-0.18	35	-0.29	34.57	-0.17	45.6	0.05	54.3	-0.06	52.06	NA	NA	64.35	46.09	55.88
DHRS7C	0.33	76.74	0.2	67.19	0.61	82.04	0.79	91.07	-0.03	52.33	0.57	84.01	1.19	93.06	-0.28	34.54	NA	NA	93.27	93.13	87.83
DHX33	0.03	61.83	-0.17	40.63	1.06	91.73	0.24	69.88	-0.31	32.56	0.44	80.03	-0.17	38.12	-0.77	11.99	NA	NA	35.30	62.60	69.09
DHX40	-0.51	20.54	-0.8	12.24	-1.18	7.22	-0.38	23.02	-0.76	13.85	-0.47	23.43	-0.92	10.37	-0.6	17.35	NA	NA	15.05	10.88	14.38
DHX58	1.04	91.33	-0.28	33.56	1.29	94.25	-0.6	14.4	0.79	87.11	2.01	97.14	-0.11	43.02	0.11	65.95	NA	NA	74.79	79.05	79.62
DHX8	-0.99	6.79	-1.06	7.48	-1.53	4.26	-0.37	23.36	-0.26	35.78	-0.87	8.82	-1.29	5.64	-0.99	7.52	NA	NA	3.92	2.92	3.40
DLG4	-0.58	17.32	-0.67	15.76	-0.65	16.9	-0.18	35.31	-0.2	40.2	-0.6	17.16	-0.88	11.19	-0.57	18.55	NA	NA	8.63	6.06	8.47
DLX3	-0.35	30.1	-0.32	31.69	-0.15	39.85	-0.2	33.83	0.23	68.74	-0.32	33.13	-0.44	24.06	-0.45	24.32	NA	NA	57.91	48.74	48.00
DLX4	0.18	70.58	0.35	74.18	0.17	61.25	0.22	68.79	0.65	83.79	0.23	72.83	0.47	78	0.21	71.22	NA	NA	42.62	48.99	35.00
DNAH2	-0.99	6.85	-2.39	1.09	0.75	85.83	-5.18	0.05	-0.61	18.19	-1.32	3.31	-3.53	0.39	-4.24	0.13	NA	NA	0.37	1.86	0.34
DNAH9	0.35	77.61	0.46	78.06	2.78	99.17	-1.01	6.91	-3.81	0.13	-1.66	1.75	0.24	67.27	0.6	83.86	NA	NA	93.58	98.30	85.51
