GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	RVIS_ExAC_0.1%	RVIS_ExAC_0.05%popn
CHEK2	-0.71	12.76	-0.13	43.91	1.02	91.14	-0.04	45.95	-0.7	15.26	-0.91	7.92	-0.06	46.82	0.03	60.12	NA	NA	39.15	73.76
CHKB	-0.49	21.37	-0.31	31.93	0.03	51.59	-0.08	42.99	0.24	69.07	-0.55	18.99	-0.44	24.06	-0.45	24.32	NA	NA	44.73	24.65
CLTCL1	1.12	92.29	2.35	98.42	1.7	97.02	1.81	98.38	3.39	99.36	1.31	93.95	1.7	96.68	-0.1	48.92	NA	NA	97.19	99.26
COMT	-0.01	58.66	-0.18	40.16	0.23	64.87	-0.28	28.4	-0.48	24	0	59.84	0.2	64.53	-0.12	47.02	NA	NA	73.45	91.90
CPT1B	0.45	80.78	-0.66	16.02	-0.2	36.4	-0.34	25.16	0.2	66.66	0.53	82.71	-0.34	29.19	0.21	71.3	NA	NA	12.82	29.54
CRELD2	1.17	92.8	0.8	87.66	-0.08	43.97	1.19	95.75	1.54	95.33	2.24	97.74	0.97	90.43	0.04	61.38	NA	NA	91.57	98.23
CRKL	-0.19	42.14	-0.32	31.46	-0.43	24.73	-0.01	48.28	-0.29	34.57	-0.17	45.6	-0.27	33.32	-0.18	43.38	-2.35	2.8	41.23	19.60
CRYBA4	0.09	66.37	0.22	68.13	0.07	54.81	0.7	89.21	0.2	67.14	0.19	71.2	0.23	67.12	-0.33	31.71	NA	NA	70.14	78.24
CRYBB1	-0.45	23.72	-0.23	37.32	-0.29	31.91	-0.03	47.18	-0.21	39.76	-0.36	30.17	-0.29	31.79	-0.51	21.08	NA	NA	30.13	66.26
CRYBB2	0.31	75.87	0.3	72.01	0.39	73.25	0.37	78.18	0.19	66.52	-0.11	51.62	0.32	71.39	0.27	73.56	0.13	49.63	63.73	54.06
CRYBB3	0.26	73.95	0.82	87.99	0.99	90.68	0.7	89.27	0.44	77.82	0.63	85.37	1.4	94.78	0.31	74.98	NA	NA	72.99	93.00
CSDC2	-0.13	47.18	-0.25	35.42	-0.42	25.4	0.04	52.37	-0.12	46.17	-0.07	55.41	0.02	53.09	-0.15	45.89	-1.09	12.18	NA	52.00
CSF2RB	-0.11	49.16	-1.08	7.32	-0.61	18.08	-0.97	7.39	-0.8	12.58	0.42	79.12	-0.29	31.36	-0.78	11.83	NA	NA	11.84	56.86
CSNK1E	-0.2	40.89	-0.34	30.07	-0.62	17.86	-0.03	46.77	-0.22	39.02	-0.13	49.82	-0.16	39.78	-0.27	35.97	-1.93	4.58	26.07	18.67
CYB5R3	0.22	72.1	0.51	80.2	-0.15	39.92	0.37	77.83	-0.23	37.79	-0.62	16.23	-0.08	44.23	0.46	80.22	NA	NA	40.56	45.85
CYP2D6	2.04	97.32	1.77	96.77	0.79	86.9	-0.02	47.2	1.65	95.98	1.35	94.22	1.42	94.96	1.53	95.24	NA	NA	99.67	99.35
CYTH4	-0.15	45.05	0.09	60.47	-0.03	47.64	0.13	60.5	-0.65	17.28	-0.64	15.52	0.1	58.23	0.59	83.48	NA	NA	42.05	18.63
DDX17	-0.31	33.12	-0.52	21.2	-0.32	30.12	-0.15	37.38	-0.49	23.35	-0.3	34.73	-0.45	23.52	-0.3	33.66	NA	NA	20.61	11.74
DEPDC5	0.17	70.04	-1.12	6.62	-2.29	1.56	-1.61	2.69	-1.02	8.35	-0.19	41.78	-1.15	7	-1.17	5.34	NA	NA	18.12	6.85
DERL3	0.43	80.24	0.6	82.66	0.31	69.44	0.33	76.03	0.55	81.07	1.23	93.49	1.07	91.9	0.35	76.56	NA	NA	NA	90.03
DESI1	-0.05	55.48	-0.12	44.54	-0.03	47.43	0.14	61.38	-0.09	48.54	-0.05	57.34	-0.08	45.18	-0.05	53.64	-0.86	16	45.96	50.33
DGCR14	0.86	89.2	0.47	78.74	0.34	71.24	-0.43	20.97	0.39	75.49	1.42	94.71	0.18	63.69	0.16	68.78	NA	NA	60.08	25.44
DGCR2	-0.8	10.41	-1.17	6.03	-0.39	26.95	-0.93	8.04	-1.31	5.02	-0.77	11.03	-0.84	11.97	-0.79	11.45	NA	NA	21.21	19.66
DGCR6	0.38	78.46	0.51	80.1	-0.29	31.91	-0.03	47.18	0.13	63.39	-0.38	28.74	-0.13	41.19	0.43	79.24	NA	NA	83.09	79.41
DGCR6L	0.56	83.63	0.04	56.92	-0.2	36.75	-0.11	39.74	0.3	72	0.78	88.15	0.04	53.75	-0.3	33.66	-1.07	12.47	80.27	52.38
DGCR8	-0.54	18.77	-1	8.47	-1.12	7.87	-0.61	14.26	-0.77	13.46	-0.43	24.94	-0.66	16.55	-0.52	20.29	NA	NA	7.55	11.54
DMC1	0.18	70.58	-0.14	43.29	-0.27	33.04	-0.06	44.03	-0.29	34.57	-0.17	45.6	0.28	69.61	0.09	64.59	-0.93	14.7	36.54	26.89
DNAJB7	0.33	76.74	0.69	85.1	0.32	69.89	0.5	83.39	0.86	88.51	0.12	68.73	0.59	82.24	-0.18	41.72	NA	NA	86.33	76.51
DNAL4	-0.03	56.85	-0.1	46.2	0.01	50.22	0.15	62.8	-0.06	51	-0.02	59.11	-0.03	48.73	-0.02	56.24	1.56	97.3	NA	74.48
DRG1	-0.1	49.88	-0.19	39.68	0.1	56.32	0.09	56.76	-0.06	51	-0.02	59.11	-0.07	46.14	-0.21	40.71	-0.99	13.72	47.56	29.60
DUSP18	-0.26	36.41	-0.18	39.95	0.24	65.32	0.19	66.09	-0.11	46.94	-0.3	34.73	-0.31	30.41	-0.21	40.71	-0.12	38.35	42.3	72.08
EFCAB6	0.99	90.89	2.23	98.17	0.75	85.79	0	48.85	2.94	99.08	1.84	96.65	2.27	98.51	1.4	94.43	NA	NA	98.6	89.89
EIF3D	-0.35	30.1	-0.56	19.31	-0.73	14.76	-0.2	33.83	-0.49	23.35	-0.3	34.73	-0.78	13.08	-0.51	21.08	NA	NA	12.65	7.83
EIF3L	-0.48	22.15	-0.76	13.33	-1.1	8.12	-0.35	24.69	-0.56	20.63	-0.34	31.62	-0.97	9.55	-0.63	16.36	NA	NA	10.04	5.07
EIF4ENIF1	-1.1	5.61	-0.97	8.9	-0.94	10.45	-0.49	18.44	-0.39	27.77	-0.96	7.3	-1.82	2.67	-1.18	5.32	NA	NA	8.92	4.98
ELFN2	-1.08	5.67	-1.84	2.08	-1.05	8.75	-1.54	2.95	-1.81	2.27	-1.61	1.94	-1.5	4.12	-1.06	6.49	NA	NA	4.6	40.34
EMID1	0.72	86.9	0.89	89.14	0.38	73.05	0.75	90.39	0.79	87.3	1.14	92.67	0.7	85.18	0.88	89.2	NA	NA	76.64	78.44
ENTHD1	-0.31	32.42	-0.16	42.16	-0.04	47.16	-0.06	44.57	-0.55	21.03	-0.05	56.02	0.32	71.52	-0.52	20.29	NA	NA	17.07	63.54
EP300	-2.51	0.59	-3.68	0.26	-4.18	0.26	-2.24	1.1	-2.7	0.69	-2.08	0.88	-2.93	0.68	-3.1	0.34	NA	NA	1.11	0.32
EWSR1	-0.64	15.22	-0.78	12.88	-1.1	8.04	-0.26	29.85	-0.78	13.28	-0.19	42.29	-0.15	40.41	-0.42	25.91	NA	NA	7.66	4.95
FAM109B	0.49	81.82	0.19	67.03	-0.26	33.55	0.11	58.69	-0.11	46.94	0.23	72.83	0.34	72.44	0.74	86.8	NA	NA	77.92	75.28
FAM116B	-0.23	38.88	-0.95	9.27	-0.96	10.01	-0.44	20.32	-0.9	10.32	0.02	61.31	-0.83	12.19	-0.56	18.71	NA	NA	NA	27.92
FAM118A	0.2	71.47	0	53.85	-0.05	46.41	0.06	54.51	-0.5	22.59	0.27	73.91	0.3	70.34	0.56	82.76	NA	NA	57.06	17.25
FAM19A5	-0.08	52.75	0.35	73.97	0.18	61.63	0.7	89.11	-0.16	43.78	-0.09	53.45	0.27	69.07	-0.15	45.89	-0.73	18.59	NA	53.82
FAM211B	0.54	83.12	1.58	95.75	1.5	96.01	1.13	95.28	0.8	87.46	-0.15	46.2	1.64	96.36	0.7	86.03	NA	NA	95.94	97.95
FAM83F	0.53	82.77	0.35	74.58	1.02	91.14	0.54	84.65	0.39	75.49	0.36	77.15	1.01	91.06	0.61	83.97	NA	NA	NA	92.87
FBLN1	-1.23	4.29	-0.35	29.61	-0.87	11.69	-0.55	16.09	-0.8	12.58	-1.17	4.6	-0.46	23.12	-0.95	8.17	NA	NA	55.76	20.61
FBXO7	0.52	82.38	0.09	60.57	-0.04	47.16	0.52	84.05	0.36	74.1	0.87	89.39	0.07	55.79	0.4	78.24	NA	NA	38.68	66.31
FOXRED2	0.14	68.74	0.59	82.35	-0.36	28.14	-0.69	12.13	-0.5	22.4	-0.45	23.54	0.85	88.37	1.19	92.89	NA	NA	76.37	57.67
GAB4	1.01	91.07	1.03	91.07	1.65	96.82	1.56	97.73	0.81	87.61	1.2	93.22	0.6	82.29	0.57	83.13	NA	NA	85.16	55.04
GAL3ST1	0.43	80.07	0.69	85.21	0.59	81.56	0.13	60.61	0.29	70.97	0.29	74.69	0.52	79.88	-0.16	43.71	NA	NA	71.69	88.17
GAS2L1	0.06	64.52	0.37	75.29	-0.01	49.25	0.96	93.56	-0.35	30.95	-0.45	24.65	0.37	74.12	0.53	82.31	NA	NA	76.49	50.77
GATSL3	-0.25	37.63	-0.21	38.58	-0.45	24.09	0.19	66.09	-0.59	19.35	-0.36	30.17	0.21	65.81	-0.02	56.24	-0.49	24.99	22.96	62.92
GCAT	-0.04	55.69	0.85	88.42	1.01	91.07	0.93	93.26	0.95	89.85	0.76	87.55	0.62	83.17	0.52	81.66	NA	NA	84.79	67.51
GGA1	-0.61	15.89	-1.11	6.83	-0.16	39.5	-0.98	7.24	-0.91	10.17	-0.28	35.15	-0.92	10.45	-1	7.29	NA	NA	12.25	3.89
GGT1	0.3	75.65	-0.09	46.92	0.67	83.98	-0.4	22.2	0.76	86.53	0.59	84.51	0.07	55.79	-0.75	12.68	NA	NA	94.59	90.54
GGT5	0.47	81.12	-0.37	28.2	-1.62	3.75	-0.88	8.81	0	54.57	0.93	90.11	-0.24	34.67	0.27	73.66	NA	NA	59.09	34.29
GNAZ	-0.54	19.15	-0.85	11.06	-1.4	5.24	-0.42	21.53	-0.82	12.27	-0.51	21.17	-0.91	10.63	-0.75	12.68	NA	NA	22.52	15.08
GNB1L	1.41	94.54	0.69	85.18	0.75	85.73	0.03	51.43	0.93	89.76	1.52	95.25	0.72	85.71	0.19	70.22	NA	NA	74.42	83.10
GRAMD4	-0.84	9.64	-1.07	7.43	-0.8	13.28	-0.77	10.68	-1.19	6.2	-0.74	11.96	-1.34	5.25	-0.64	15.79	NA	NA	9.26	10.52
GRAP2	0.14	68.71	0.28	71.27	0.05	53.05	0.17	64.67	-0.18	42.09	-0.34	31.62	0.67	84.39	0.56	83.03	NA	NA	59.48	41.95
GSTT1	0.26	74.23	0.73	85.98	0.85	88.21	0.9	92.88	0.12	62.86	-0.15	47.68	0.91	89.45	0.18	69.93	NA	NA	69.4	94.27
GTPBP1	-0.65	14.67	-0.78	12.88	-1.14	7.63	-0.26	29.85	-0.75	14.17	-0.17	44.12	-0.48	22.63	-0.63	16.36	NA	NA	24.83	11.48
GTSE1	2.07	97.42	0.85	88.51	0.44	75.21	-0.28	28.44	-0.08	48.59	0.4	78.36	0.34	72.08	1.62	95.69	NA	NA	95.71	95.41
H1F0	-0.02	58.07	-0.05	49.39	0.05	52.9	0.19	65.65	-0.06	51	-0.02	59.11	0.01	52.23	0.01	58.77	-0.96	14.14	34.06	32.78
HDAC10	0.06	64.08	-0.17	40.63	0.27	67.23	-0.63	13.79	0.71	85.29	1.14	92.57	-0.17	38.12	-0.77	11.99	NA	NA	18.63	25.61
HIC2	-0.72	12.33	-0.4	26.85	-1.05	8.7	-0.34	24.96	-0.51	22.35	-0.55	18.99	-1.1	7.71	-0.87	9.64	NA	NA	12.25	20.26
HIRA	-1.02	6.45	-1.37	4.43	-1.61	3.79	-1	7.05	-0.85	11.7	-0.77	11.38	-1.61	3.58	-1.36	3.79	NA	NA	2.88	2.31
HMGXB4	-0.05	54.71	-0.49	22.36	-0.47	23.06	-0.33	25.66	-0.11	46.94	0.23	72.83	-0.19	37.79	-0.22	39.22	NA	NA	13.09	12.15
HMOX1	-0.54	19.15	-0.6	17.91	0.2	62.9	-0.13	38.79	0.28	70.75	-0.53	20.14	-0.39	26.72	-0.57	18.55	NA	NA	50.9	78.82
HORMAD2	0.08	65.39	0.93	89.7	0.33	70.26	1.26	96.24	0.55	81.07	0.17	70.35	0.53	80.2	0.09	64.59	NA	NA	81.14	77.85
HPS4	0.52	82.61	1.76	96.76	0.28	67.71	0.14	61.88	0.8	87.36	1.78	96.35	1.07	91.81	1.62	95.69	NA	NA	81.68	75.11
HSCB	0.25	73.63	0.22	67.92	0.23	64.77	0.31	74.81	0.6	82.56	-0.09	53.45	0.08	57.16	0.12	66.65	1.51	96.9	71.52	52.38
IFT27	-0.18	43.45	0.39	76.05	0.48	77	0.83	91.9	0.53	80.7	-0.13	49.82	0.72	85.85	0.44	79.63	NA	NA	62.37	83.27
IL17RA	-0.84	9.5	0.25	69.66	0.22	64.08	0.77	90.58	0.23	68.29	-0.51	20.46	-0.21	36.2	-0.95	8.17	NA	NA	72.25	94.43
IL17REL	0.29	75.08	0.6	82.74	0.78	86.57	0.45	81.45	0.82	87.88	0.63	85.37	0.11	59.29	0.05	61.75	NA	NA	60.44	87.81
IL2RB	0.02	60.8	0.44	77.91	0.74	85.6	-0.16	36.67	0.08	59.61	-0.13	48.29	0.96	90.27	0.58	83.24	NA	NA	49.83	58.66
INPP5J	0.23	72.66	-0.22	37.43	0.18	61.85	0.38	78.56	-0.51	22.35	-0.55	18.99	-0.82	12.34	-0.31	32.45	NA	NA	NA	54.08
ISX	2.45	98.34	1.26	93.56	1.21	93.39	0.86	92.23	1.93	97.23	2.2	97.64	0.84	88.12	2.13	97.58	NA	NA	91.26	95.69
JOSD1	0.26	74.23	-0.01	53.19	-0.02	47.99	0.04	52.37	-0.36	30.26	-0.21	41.76	0.17	62.87	0.33	75.84	-0.91	15.16	53.5	31.36
KCNJ4	-0.55	18.49	-0.89	10.3	-1.73	3.14	-0.45	20	-0.86	11.45	-0.53	20.14	-0.97	9.55	-0.63	16.36	NA	NA	13.74	6.34
KCTD17	-0.25	37.63	0.08	60.09	-0.16	39.3	0.21	67.55	0.02	56.56	-0.21	41.76	0.04	53.75	0.09	64.59	-0.18	35.78	NA	65.09
KDELR3	0.12	68.07	0.75	86.57	0.16	60.17	0.73	89.92	0.65	83.79	0.23	72.83	0.33	71.95	0.5	81.42	NA	NA	85.7	73.35
KIAA0930	-0.75	11.57	-0.98	8.8	-1.14	7.69	-0.41	21.7	-0.85	11.7	-0.77	11.38	-1.35	5.14	-0.87	9.64	NA	NA	20.67	12.33
KIAA1644	0.18	70.58	-0.14	43.29	-0.41	25.87	-0.06	44.03	0.02	56.56	0.31	76.03	-0.12	42.85	-0.24	38.27	-1.39	8.73	39.78	26.19
KLHL22	-0.76	11.26	-1.2	5.76	-0.74	14.61	-0.68	12.3	-0.75	14.17	-0.7	13.17	-0.91	10.63	-0.75	12.68	NA	NA	6.99	5.98
KREMEN1	-0.27	35.57	0.4	76.36	0.67	83.72	0.57	85.8	-0.06	50.06	-0.21	40.48	0.86	88.49	-0.1	48.89	NA	NA	42.19	65.35
L3MBTL2	-0.81	10.05	-1.17	6.03	-1.3	5.99	-0.64	13.41	-0.67	16.3	-0.89	8.32	-1.98	2.19	-1.22	4.92	NA	NA	82.27	15.12
LARGE	-0.77	11.06	-0.62	17.45	-0.6	18.56	-0.59	14.94	-0.59	18.82	-0.55	18.37	-1.35	5.06	-0.74	12.87	NA	NA	17.52	7.94
LDOC1L	-0.09	51.36	-0.16	41.25	-0.44	24.35	0.1	58.27	-0.12	46.17	-0.07	55.41	-0.17	38.94	-0.12	48.49	0.65	74.89	31.68	25.02
LGALS1	-0.16	44.62	-0.03	51.4	-0.21	36.15	0.31	74.81	0.16	64.82	-0.13	49.82	-0.27	33.32	-0.18	43.38	-0.83	16.66	55.67	33.72
LGALS2	0.59	84.31	0.1	61.49	0.17	61.25	0.22	68.79	-0.39	28.47	-0.24	39.98	0.08	57.16	0.5	81.42	0.55	70.39	85.99	84.72
LIF	0.14	68.71	0.28	71.27	0.05	53.05	-0.11	39.74	-0.15	44.43	0.21	71.91	0.37	74.12	0.53	82.31	NA	NA	73.64	43.91
LIMK2	0.21	71.9	0.11	62.14	-0.59	18.8	-0.12	39.05	0.17	64.89	-0.02	57.47	-0.4	25.82	-0.29	33.93	NA	NA	18.62	10.40
LMF2	-1.43	2.95	-1.29	5	0.88	88.88	-1.56	2.85	-0.82	12.27	-0.6	16.28	-1.23	6.07	-1.39	3.64	NA	NA	NA	64.69
LRP5L	-0.51	19.96	0.76	86.8	0.56	80.31	0.29	73.22	0.47	78.39	-0.89	8.32	1.36	94.52	0.52	81.66	NA	NA	92.69	94.63
LZTR1	-1.71	1.82	-2.68	0.73	-3.26	0.66	-1.8	1.98	-2.43	1	-1.53	2.21	-2.16	1.78	-1.87	1.71	NA	NA	1.07	1.30
MAPK1	-0.25	37.63	-0.41	26.23	-0.45	24.09	-0.08	42.56	-0.42	26.73	-0.26	38.17	-0.36	27.99	-0.24	38.27	-3.33	0.91	41.44	43.66
MAPK11	0.18	70.58	-0.14	43.29	-0.56	19.92	-0.06	44.03	-0.01	54.49	0.29	75.26	-0.21	36.73	-0.3	33.66	-1.09	12.26	54.38	33.94
MAPK12	-0.44	24.01	-0.35	29.43	0.47	76.83	-0.21	33.18	0.25	69.27	-0.26	36.81	-0.4	25.82	-0.67	14.73	NA	NA	42.05	87.72
MB	-0.16	44.62	-0.27	33.97	-0.06	45.25	0.02	50.88	-0.36	30.26	-0.21	41.76	-0.17	38.94	-0.12	48.49	-0.75	18.08	40.04	35.45
MCAT	0.19	70.88	-0.05	50.34	0.06	53.71	-0.24	30.91	-0.17	42.53	-0.05	56.02	-0.33	29.47	0.46	80.22	NA	NA	62.91	42.68
MCHR1	-0.11	48.84	0	54.03	-0.21	36.38	-0.02	47.45	0.57	81.47	-0.3	33.53	-0.15	40.54	-0.05	53.8	NA	NA	63.77	21.02
MCM5	-0.81	10.05	-0.44	24.63	-0.72	15.06	-0.64	13.41	-0.41	26.82	-0.68	13.38	0.34	72.5	-0.82	10.65	NA	NA	16.67	72.47
MED15	-0.94	7.63	-1.46	3.78	-1.37	5.47	-0.88	8.72	-1.25	5.58	-1.02	6.32	-0.72	14.97	-0.78	11.79	NA	NA	10.36	16.23
MEI1	0.11	67.28	-0.46	23.7	-0.88	11.56	-0.43	20.41	-1.61	3.03	-0.96	7.06	0.56	81.15	0	57.45	NA	NA	5.8	9.53
MFNG	-0.15	45.05	-0.42	25.56	0.99	90.68	-0.18	35.31	-0.34	31.36	-0.15	46.2	-0.2	37.31	-0.06	52.06	NA	NA	42.81	58.22
MGAT3	-0.68	13.66	-0.58	18.72	-0.79	13.48	-0.29	27.7	-0.34	31.36	-0.68	14.01	-0.14	40.84	-0.57	18.55	NA	NA	36.34	54.25
MICAL3	0.19	70.89	0.41	76.52	-0.63	17.57	-1.3	4.37	0.56	81.3	0	59.11	-0.13	40.9	1.05	91.28	NA	NA	6.42	60.92
MICALL1	-0.07	52.8	-0.79	12.57	-1.11	7.99	-0.17	35.58	-0.86	11.13	0.34	76.13	-0.15	40.54	-0.05	53.8	NA	NA	20.48	27.44
MIOX	-0.34	30.45	-0.2	39.11	0.32	69.96	0.2	66.47	-0.37	29.35	-0.17	44.12	-0.65	16.71	-1.06	6.66	NA	NA	89.02	92.12
MKL1	-0.19	42.17	-0.53	20.91	0.02	51.06	-0.6	14.4	-1.54	3.29	-0.91	7.74	0.5	79.08	0.12	66.72	NA	NA	13.84	72.10
MLC1	0.2	71.47	0	53.85	0.54	79.28	0.06	54.51	0.08	59.61	0.4	78.67	0.26	68.6	0.37	77.3	NA	NA	78.15	73.80
MMP11	-0.31	32.42	-0.16	42.16	-0.47	23.11	0.23	69.22	1.11	91.94	-0.19	42.29	-0.72	14.97	-0.01	56.62	NA	NA	71.11	85.34
MORC2	-1.08	5.79	-1.68	2.63	-1.92	2.49	-1.05	6.41	-1.73	2.51	-1.08	5.64	-1.34	5.25	-1.02	7.06	NA	NA	4.63	3.29
MOV10L1	0.7	86.55	-0.69	14.84	-1.1	8.1	-1.19	5.24	0.27	70.43	1.73	96.2	-0.63	17.41	-0.47	22.72	NA	NA	73.95	10.25
MPPED1	-0.36	29.16	-0.58	18.44	-0.92	10.87	-0.22	32.69	-0.59	19.35	-0.36	30.17	-0.74	14.34	-0.48	22.63	NA	NA	23.59	26.89
MRPL40	0.58	83.98	0.08	60.09	0.57	80.47	-0.08	42.56	0.5	79.81	0.91	90.02	0.72	85.85	0.44	79.63	0.57	71.47	50.79	65.97
MTFP1	0.18	70.58	-0.14	43.29	-0.41	25.87	0.22	68.79	-0.32	32.45	-0.19	43.65	-0.21	36.73	0.09	64.59	0.52	69.16	42.68	72.48
MTMR3	-1.11	5.37	-0.9	10.16	-0.26	33.27	-0.99	7.14	-0.37	29.12	-0.36	28.86	-1.28	5.68	-0.63	16.39	NA	NA	28.16	6.76
MYH9	-2.77	0.42	-1.99	1.75	-3.59	0.5	-2.07	1.39	-0.57	19.74	-2.46	0.55	-4.55	0.17	-2.8	0.52	NA	NA	2.34	0.63
MYO18B	1.53	95.22	1.21	93.02	0.39	73.43	-0.22	32.08	0.61	82.86	2.01	97.18	2.57	98.97	1.92	96.86	NA	NA	97.26	99.29
NAGA	-0.66	14.11	-0.31	32.06	-0.17	38.79	-0.28	28.77	-0.37	29.35	-0.7	13.17	-0.63	17.4	-0.57	18.55	NA	NA	42.52	31.97
NCAPH2	0.16	69.46	-0.22	37.66	0.12	57.73	0.39	78.63	-0.59	18.82	-0.02	57.47	-0.1	43.54	-0.02	56.32	NA	NA	53.23	58.84
NCF4	-0.4	26.61	-0.78	12.97	-0.42	25.2	-0.45	20.21	0.01	55.15	-0.17	44.12	-0.55	19.66	-0.22	38.61	NA	NA	38.37	52.69
NDUFA6	0.25	73.63	0.46	78.28	-0.06	45.25	0.02	50.88	0.33	73.49	0.27	74.39	0.7	85.33	0.75	86.97	NA	NA	62.09	58.21
NEFH	0.3	75.46	0.25	69.57	-0.5	22.24	1.14	95.31	0.19	66.02	0.76	87.55	-0.24	34.67	0.66	85.28	NA	NA	78.3	61.98
NF2	-0.55	18.49	-0.87	10.65	-0.86	11.92	-0.43	20.77	-0.79	13.03	-0.49	22.26	-0.05	47.38	-0.51	21.08	NA	NA	14.09	15.49
NFAM1	0.69	86.38	-0.14	43.77	-0.43	25.17	-0.43	20.77	-0.66	16.92	-0.41	27.43	-0.56	19.5	0.31	74.98	NA	NA	64.63	32.14
NHP2L1	0.04	62.93	0.04	56.25	-0.08	44.21	0.25	71.16	-0.06	51	-0.02	59.11	0.16	62.02	0.1	65.33	-3.6	0.58	70.51	59.99
NIPSNAP1	-0.02	58.07	-0.05	49.39	-0.1	43.16	0.19	65.65	0.01	55.83	0.02	62.73	-0.13	42.03	-0.08	50.87	-3.03	1.24	55.67	28.22
NOL12	0.09	66.37	-0.03	51.66	0.66	83.37	0.12	60.24	-0.42	26.73	-0.26	38.17	0.29	70.07	-0.06	52.06	NA	NA	62.37	70.64
NUP50	-0.48	22.15	-0.76	13.33	-0.66	16.68	-0.35	24.69	-0.46	24.98	-0.28	36.38	-0.73	14.64	-0.63	16.36	NA	NA	7.48	17.13
OSBP2	-0.9	8.25	-0.57	19.01	-0.38	27.25	-1.03	6.68	-0.19	40.25	-0.49	21.26	-0.64	17.1	-1.21	5.09	NA	NA	68.35	68.39
OSM	-0.31	33.12	-0.25	35.75	-0.32	30.12	0.14	61.86	-0.42	26.73	-0.26	38.17	-0.06	46.82	-0.36	29.59	NA	NA	64.63	79.41
P2RX6	-0.47	22.42	-0.18	40.56	0.54	79.3	-0.26	29.98	-0.44	25.8	-0.21	40.48	-0.01	50.46	-0.35	29.97	NA	NA	45.2	81.33
PACSIN2	-0.34	30.45	0.04	57.41	-1.28	6.16	-0.09	41.67	0.42	76.81	-0.68	14.01	-0.71	15.15	-0.55	19.04	NA	NA	63.44	20.69
PARVB	0.42	79.64	0.4	76.41	-0.17	38.33	0.1	57.44	0.25	69.27	0.27	73.91	0.24	67.26	0.81	88.15	NA	NA	90.19	74.67
PARVG	-0.14	46.38	0.33	73.54	-0.13	40.91	0.13	60.5	-0.58	19.72	-0.6	17.16	0.39	74.94	0.23	71.94	NA	NA	88.82	85.43
PATZ1	-0.25	36.77	-0.8	12.33	-1.33	5.73	-0.57	15.76	-0.68	16.14	-0.66	14.79	-0.73	14.64	-0.25	36.93	NA	NA	5.91	3.95
PDGFB	-0.45	23.72	0	53.73	0.44	75.44	-0.04	45.77	0.07	59.28	-0.43	25.96	0.29	70.07	-0.45	24.32	NA	NA	48.74	64.81
PES1	-0.2	40.99	-0.13	44.03	-0.16	39.5	-0.7	12.04	-0.19	40.45	0.23	72.22	0	50.96	-0.11	48.59	NA	NA	15.22	51.86
PEX26	0.21	71.78	1.13	92.16	0.69	84.3	0.83	91.9	1.57	95.54	0.34	76.81	0.48	78.39	-0.33	31.71	NA	NA	86.52	65.64
PHF21B	-0.01	58.28	0.89	89.24	0.95	90.06	0.39	78.6	0.77	86.69	0.36	77.15	0.93	89.69	-0.38	27.9	NA	NA	61.72	62.97
PHF5A	0.13	68.19	0.15	63.81	0.16	60.42	0.34	76.34	0.15	63.94	0.1	67.97	0.25	67.76	0.16	68.58	NA	NA	62.84	55.91
PI4KA	-2.76	0.43	-4.02	0.18	-3.58	0.51	-3.01	0.42	-3.25	0.33	-1.99	1.03	-3.84	0.3	-3.12	0.33	NA	NA	0.16	0.36
PICK1	-0.51	20.54	-0.8	12.24	-1.18	7.22	-0.38	23.02	-0.62	18.12	-0.38	28.74	-0.83	12.13	-0.54	19.74	NA	NA	51.35	26.69
PIK3IP1	0.19	71.21	0.35	74.18	0.36	71.87	0.24	70.23	0.4	76.21	0.31	76.03	0.27	69.07	0.62	84.46	NA	NA	NA	66.75
PISD	-0.22	39.07	-0.27	34.71	0.35	71.64	0.04	53.03	-0.96	9.36	-0.6	17.16	0.16	62.19	0.46	80.22	NA	NA	32.68	61.84
PITPNB	0.1	66.58	0.12	62.38	0.08	55.11	0.32	75.44	0.15	63.94	0.1	67.97	0.16	62.02	0.1	65.33	NA	NA	49.28	35.83
PIWIL3	0.58	83.82	2.43	98.54	1.75	97.22	2.32	99.11	-0.29	33.51	0.51	82.02	2.48	98.84	1.49	95.06	NA	NA	91.54	98.92
PKDREJ	0.08	65.39	-0.59	18.22	0.22	64.08	-2.41	0.89	-0.28	34.58	-0.64	14.81	-1.64	3.41	-1.06	6.53	NA	NA	72.1	35.91
PLA2G3	1.01	91.07	1.29	93.88	1.36	94.99	0.42	80.14	1.91	97.17	1.71	96.12	1.04	91.47	0.92	89.75	NA	NA	92.72	90.18
PLA2G6	-1.08	5.67	-1.59	3.08	0.69	84.42	-1.25	4.72	-1.43	3.9	-1.08	5.46	-1.06	8.23	-0.71	13.56	NA	NA	21.27	47.07
PLXNB2	-1.79	1.6	-3.3	0.42	-4.32	0.22	-2.84	0.47	-2.26	1.21	-1.17	4.52	-2.82	0.77	-1.41	3.43	NA	NA	29.78	7.19
