CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS
COLQ	COLQ	COLQ	COLQ	COLQ	-0.451660134	22.20292875	N	73.44615755
GALNTL2	GALNTL2	GALNT15	GALNT15	GALNT15	-0.662556357	14.97366441	N	73.28956878
RFTN1	RFTN1	RFTN1	RFTN1	RFTN1	-0.089449983	42.83729814	N	19.04360395
PLCL2	PLCL2	PLCL2	PLCL2	PLCL2	-1.401896392	3.912716328	N	6.570705854
TBC1D5	TBC1D5	TBC1D5	TBC1D5	TBC1D5	-0.686022693	14.34276784	N	71.39243556
EFHB	EFHB	EFHB	EFHB	EFHB	1.114244424	94.11356138	N	86.32859552
NKIRAS1	NKIRAS1	NKIRAS1	NKIRAS1	NKIRAS1	-0.133010364	39.8622446	Y	30.73958082
NR1D2	NR1D2	NR1D2	NR1D2	NR1D2	-0.278133044	30.72292643	N	17.41748976
NGLY1	NGLY1	NGLY1	NGLY1	NGLY1	-0.438416515	22.82803727	N	40.10479403
SLC4A7	SLC4A7	SLC4A7	SLC4A7	SLC4A7	-1.138012686	6.170052671	N	42.77884847
CMC1	CMC1	CMC1	CMC1	CMC1	0.236554885	66.60299821	Y	98.87376536
ZCWPW2	ZCWPW2	ZCWPW2	ZCWPW2	ZCWPW2	0.23207049	66.37147653	N	92.27896892
RBMS3	RBMS3	RBMS3	RBMS3	RBMS3	-0.495874865	20.37969555	N	22.2657191
GPD1L	GPD1L	GPD1L	GPD1L	GPD1L	-0.526844603	19.11790241	N	6.420139725
CMTM7	CMTM7	CMTM7	CMTM7	CMTM7	0.139014096	60.0972391	Y	3.065526379
TMPPE	TMPPE	TMPPE	TMPPE	TMPPE	-0.218108998	34.42727325	N	38.38231751
CTDSPL	CTDSPL	CTDSPL	CTDSPL	CTDSPL	0.096865517	56.89645193	Y	17.15851602
SCN10A	SCN10A	SCN10A	SCN10A	SCN10A	0.37719157	74.77571338	N	60.90701036
SCN11A	SCN11A	SCN11A	SCN11A	SCN11A	-2.104108841	1.447010476	N	60.02168152
WDR48	WDR48	WDR48	WDR48	WDR48	-0.977044237	8.276899925	N	10.49747049
RPL14	RPL14	RPL14	RPL14	RPL14	0.899864455	91.08641547	Y	57.79330282
ZNF620	ZNF620	ZNF620	ZNF620	ZNF620	0.270542348	68.72142154	N	47.72344013
KIF15	KIF15	KIF15	KIF15	KIF15	0.544145033	82.20755918	N	71.92845098
SACM1L	SACM1L	SACM1L	SACM1L	SACM1L	-0.296009812	29.68107889	N	10.81667068
LTF	LTF	LTF	LTF	LTF	1.37512779	96.25513689	N	34.57600578
KLHL18	KLHL18	KLHL18	KLHL18	KLHL18	-0.846613517	10.63842102	N	21.04914478
MAP4	MAP4	MAP4	MAP4	MAP4	-0.321748239	28.15882387	N	58.7509034
TMEM89	TMEM89	TMEM89	TMEM89	TMEM89	0.871761308	90.62337211	N	98.56058781
CCDC36	CCDC36	CCDC36	CCDC36	CCDC36	-0.136532991	39.65966314	N	59.07010359
MST1	MST1	MST1	MST1	MST1	1.636030838	97.66741911	N	42.9956637
RNF123	RNF123	RNF123	RNF123	RNF123	-0.617109799	16.26439775	N	43.00770899
AMIGO3	AMIGO3	AMIGO3	AMIGO3	AMIGO3	-0.530367513	18.99635353	N	98.71115394
IP6K1	IP6K1	IP6K1	IP6K1	IP6K1	-0.298880801	29.53637784	N	15.18911106
CAMKV	CAMKV	CAMKV	CAMKV	CAMKV	0.222654188	65.80424842	N	5.902192243
CACNA2D2	CACNA2D2	CACNA2D2	CACNA2D2	CACNA2D2	-1.097765002	6.598367772	N	25.59624187
RBM15B	RBM15B	RBM15B	RBM15B	RBM15B	-1.97609561	1.713260404	N	28.60756444
RAD54L2	RAD54L2	RAD54L2	RAD54L2	RAD54L2	-1.733747097	2.33836893	N	55.49265237
DUSP7	DUSP7	DUSP7	DUSP7	DUSP7	-0.385242872	25.15483012	Y	7.142857143
NISCH	NISCH	NISCH	NISCH	NISCH	-2.074079383	1.504890895	N	24.63261865
STAB1	STAB1	STAB1	STAB1	STAB1	-0.824439798	11.06673612	N	56.76945314
SPCS1	SPCS1	SPCS1	SPCS1	SPCS1	0.159610371	61.7121028	Y	76.8007709
CCDC66	CCDC66	CCDC66	CCDC66	CCDC66	0.764453356	88.44706836	N	74.93977355
DNAH12	DNAH12	DNAH12	DNAH12	DNAH12	0.848440048	90.17769289	N	94.21826066
PDE12	PDE12	PDE12	PDE12	PDE12	-0.377586284	25.59472131	N	89.74945796
FAM116A	DENND6A	DENND6A	DENND6A	DENND6A	-0.486457463	20.70961394	N	Unassessed
SLMAP	SLMAP	SLMAP	SLMAP	SLMAP	-0.931871552	9.011981247	N	50.54203806
ACOX2	ACOX2	ACOX2	ACOX2	ACOX2	-0.160653142	37.96376686	N	72.5849193
C3orf67	C3orf67	C3orf67	C3orf67	C3orf67	-0.093277119	42.60577647	N	68.9833775
SNTN	SNTN	SNTN	SNTN	SNTN	0.193448992	64.03889564	Y	79.36039509
LRIG1	LRIG1	LRIG1	LRIG1	LRIG1	1.253672672	95.46796319	N	42.03806312
EIF4E3	EIF4E3	EIF4E3	EIF4E3	EIF4E3	-0.051433536	45.65607455	Y	36.31655023
SHQ1	SHQ1	SHQ1	SHQ1	SHQ1	0.325128069	72.04954564	N	90.74319441
PDZRN3	PDZRN3	PDZRN3	PDZRN3	PDZRN3	-0.738261201	12.95363778	N	44.2363286
CNTN3	CNTN3	CNTN3	CNTN3	CNTN3	0.346030702	73.18978989	N	49.04239942
CADM2	CADM2	CADM2	CADM2	CADM2	-0.623428585	16.06181629	N	8.160684172
STX19	STX19	STX19	STX19	STX19	-0.013766433	48.44591075	Y	95.76005782
OR5AC2	OR5AC2	OR5AC2	OR5AC2	OR5AC2	0.475995728	79.57978816	N	23.28956878
OR5H1	OR5H1	OR5H1	OR5H1	OR5H1	1.835469296	98.26358743	N	96.14550711
OR5H14	OR5H14	OR5H14	OR5H14	OR5H14	2.407983454	99.10864155	N	62.13562997
OR5H15	OR5H15	OR5H15	OR5H15	OR5H15	2.383549351	99.05076113	N	67.41748976
OR5H6	OR5H6	OR5H6	OR5H6	OR5H6	0.479822239	79.75921746	N	38.85208384
OR5H2	OR5H2	OR5H2	OR5H2	OR5H2	0.905599564	91.18481218	N	93.50758853
OR5K4	OR5K4	OR5K4	OR5K4	OR5K4	1.529536239	97.08861492	N	96.56709227
OR5K3	OR5K3	OR5K3	OR5K3	OR5K3	0.57545022	83.27834694	N	95.81426162
OR5K2	OR5K2	OR5K2	OR5K2	OR5K2	0.157040256	61.54424958	N	72.30787762
NIT2	NIT2	NIT2	NIT2	NIT2	-0.489328961	20.62279331	N	46.51891111
TOMM70A	TOMM70A	TOMM70A	TOMM70A	TOMM70A	-0.510881113	19.77773919	Y	41.76102144
RPL24	RPL24	RPL24	RPL24	RPL24	-0.172439875	37.20553337	Y	5.78173934
ALCAM	ALCAM	ALCAM	ALCAM	ALCAM	0.17778674	63.04335243	N	33.25704649
KIAA1524	KIAA1524	KIAA1524	KIAA1524	KIAA1524	0.023246295	51.30520345	N	82.52830643
TRAT1	TRAT1	TRAT1	TRAT1	TRAT1	0.620322894	84.75429762	N	71.20573356
DPPA4	DPPA4	DPPA4	DPPA4	DPPA4	-0.012809608	48.480639	Y	27.20428812
TAGLN3	TAGLN3	TAGLN3	TAGLN3	TAGLN3	-0.337507753	27.3890143	Y	4.324259215
SLC9C1	SLC9C1	SLC9C1	SLC9C1	SLC9C1	0.110717303	58.01354402	N	72.60900988
BTLA	BTLA	BTLA	BTLA	BTLA	-0.063568931	44.88047693	N	63.69549506
GTPBP8	GTPBP8	GTPBP8	GTPBP8	GTPBP8	0.087599756	56.28870753	N	96.09732595
C3orf17	C3orf17	C3orf17	C3orf17	C3orf17	0.080247996	55.73305551	N	89.11708022
GRAMD1C	GRAMD1C	GRAMD1C	GRAMD1C	GRAMD1C	-0.038842712	46.68634601	N	62.70778126
ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	ZDHHC23	-0.456445049	22.02349945	N	47.76559865
QTRTD1	QTRTD1	QTRTD1	QTRTD1	QTRTD1	-0.213476698	34.71088731	Y	25.23488316
GAP43	GAP43	GAP43	GAP43	GAP43	-0.249230788	32.49406726	Y	5.209588051
TIMMDC1	TIMMDC1	TIMMDC1	TIMMDC1	TIMMDC1	0.586631015	83.74139029	N	55.04095399
POLQ	POLQ	POLQ	POLQ	POLQ	0.17280811	62.68449384	N	71.75981691
ARGFX	ARGFX	ARGFX	ARGFX	ARGFX	0.236703709	66.62615037	N	66.30932305
FBXO40	FBXO40	FBXO40	FBXO40	FBXO40	0.588847047	83.80505875	N	90.35774512
IQCB1	IQCB1	IQCB1	IQCB1	IQCB1	0.193749521	64.05047173	N	90.64683209
CCDC58	CCDC58	CCDC58	CCDC58	CCDC58	-0.141470476	39.31238062	Y	10.09997591
ALG1L	ALG1L	ALG1L	ALG1L	ALG1L	1.057585586	93.45951265	N	90.86364731
ROPN1B	ROPN1B	ROPN1B	ROPN1B	ROPN1B	0.414865996	76.60473462	Y	49.77716213
SLC41A3	SLC41A3	SLC41A3	SLC41A3	SLC41A3	-0.402814388	24.22295537	N	64.86991086
TXNRD3NB	TXNRD3NB	TXNRD3NB	TXNRD3NB	TXNRD3NB	-0.065482771	44.7241998	Y	95.52517466
PLXNA1	PLXNA1	PLXNA1	PLXNA1	PLXNA1	-3.886203995	0.254673844	N	11.66586365
KBTBD12	KBTBD12	KBTBD12	KBTBD12	KBTBD12	0.287612942	69.74590496	N	82.40785353
EEFSEC	EEFSEC	EEFSEC	EEFSEC	EEFSEC	-0.083860557	43.30034149	N	38.10527584
RAB43	RAB43	RAB43	RAB43	RAB43	0.071486219	54.9863981	Y	29.93254637
COPG1	COPG1	COPG1	COPG1	COPG1	-0.960784853	8.53736181	N	26.46952542
C3orf37	C3orf37	C3orf37	HMCES	HMCES	-0.192881585	36.00162065	N	79.19778367
PLXND1	PLXND1	PLXND1	PLXND1	PLXND1	1.009884763	92.89228454	N	24.9337509
TMCC1	TMCC1	TMCC1	TMCC1	TMCC1	-0.986462395	8.103258668	N	7.877619851
ATP2C1	ATP2C1	ATP2C1	ATP2C1	ATP2C1	-0.994770199	7.935405452	N	33.20284269
DNAJC13	DNAJC13	DNAJC13	DNAJC13	DNAJC13	-2.009281512	1.60907565	N	60.69019513
TMEM108	TMEM108	TMEM108	TMEM108	TMEM108	-0.175809925	37.02031603	N	56.78752108
BFSP2	BFSP2	BFSP2	BFSP2	BFSP2	0.447896377	78.26590265	N	55.90219224
AMOTL2	AMOTL2	AMOTL2	AMOTL2	AMOTL2	1.043040569	93.30323552	N	83.94965069
MSL2	MSL2	MSL2	MSL2	MSL2	-0.6365207	15.76083811	N	29.96868225
DBR1	DBR1	DBR1	DBR1	DBR1	-0.248121003	32.57509984	N	56.85979282
PRR23B	PRR23B	PRR23B	PRR23B	PRR23B	0.637241741	85.28100943	N	95.48903879
GK5	GK5	GK5	GK5	GK5	-0.542808172	18.4812178	N	29.60732354
SLC9A9	SLC9A9	SLC9A9	SLC9A9	SLC9A9	-0.716036094	13.50928981	N	12.23199229
CPB1	CPB1	CPB1	CPB1	CPB1	0.122395494	58.93963072	N	97.74150807
HLTF	HLTF	HLTF	HLTF	HLTF	-0.254366744	32.17572495	N	72.81980246
MED12L	MED12L	MED12L	MED12L	MED12L	-3.418409083	0.416739017	N	9.955432426
AADAC	AADAC	AADAC	AADAC	AADAC	0.385001656	75.16930023	N	46.81402072
PLCH1	PLCH1	PLCH1	PLCH1	PLCH1	-2.233713014	1.232852926	N	59.08817152
SHOX2	SHOX2	SHOX2	SHOX2	SHOX2	-0.733260961	13.05782254	Y	20.77210311
GFM1	GFM1	GFM1	GFM1	GFM1	-0.270478912	31.25542629	N	35.15417972
PPM1L	PPM1L	PPM1L	PPM1L	PPM1L	-0.264236856	31.60849685	Y	17.17056131
SPTSSB	SPTSSB	SPTSSB	SPTSSB	SPTSSB	0.107088402	57.71835388	Y	95.27824621
SKIL	SKIL	SKIL	SKIL	SKIL	-0.358752744	26.36453088	N	87.97277764
SLC7A14	SLC7A14	SLC7A14	SLC7A14	SLC7A14	-0.32476418	28.03727499	N	45.75403517
NCEH1	NCEH1	NCEH1	NCEH1	NCEH1	-0.576495149	17.46252243	N	51.65020477
DNAJC19	DNAJC19	DNAJC19	DNAJC19	DNAJC19	0.123051266	58.96278289	Y	19.65189111
ATP11B	ATP11B	ATP11B	ATP11B	ATP11B	-0.187795448	36.27365862	N	52.3608769
ABCC5	ABCC5	ABCC5	ABCC5	ABCC5	-3.147194401	0.538287897	N	12.46687545
C3orf70	C3orf70	C3orf70	C3orf70	C3orf70	0.16167322	61.90310818	N	49.88556974
EHHADH	EHHADH	EHHADH	EHHADH	EHHADH	1.879854198	98.36777218	N	65.21922428
SENP2	SENP2	SENP2	SENP2	SENP2	-0.720013589	13.41089309	N	80.50469766
TRA2B	TRA2B	TRA2B	TRA2B	TRA2B	-0.246513473	32.65613243	Y	1.186461094
ETV5	ETV5	ETV5	ETV5	ETV5	0.060458083	54.14713203	N	20.57937846
MASP1	MASP1	MASP1	MASP1	MASP1	0.590122987	83.839787	N	55.48060708
RTP4	RTP4	RTP4	RTP4	RTP4	0.7047722	87.01163396	N	14.06287642
RTP2	RTP2	RTP2	RTP2	RTP2	-0.283874745	30.4277363	N	49.08455794
CCDC50	CCDC50	CCDC50	CCDC50	CCDC50	-0.051129725	45.70237889	N	64.12912551
ATP13A5	ATP13A5	ATP13A5	ATP13A5	ATP13A5	0.57990836	83.43462407	N	90.61671886
OPA1	OPA1	OPA1	OPA1	OPA1	-0.913038952	9.336111593	N	45.16381595
CPN2	CPN2	CPN2	CPN2	CPN2	0.167564929	62.36036349	N	36.20814262
LSG1	LSG1	LSG1	LSG1	LSG1	0.927454043	91.66521966	N	45.21801975
ACAP2	ACAP2	ACAP2	ACAP2	ACAP2	-0.628060421	15.93447937	N	19.50734763
APOD	APOD	APOD	APOD	APOD	0.324827936	72.00902935	N	64.89400145
TNK2	TNK2	TNK2	TNK2	TNK2	0.553729211	82.56641778	N	40.64683209
TCTEX1D2	TCTEX1D2	TCTEX1D2	TCTEX1D2	TCTEX1D2	0.427003903	77.20669098	Y	99.45796194
RPL35A	RPL35A	RPL35A	RPL35A	RPL35A	0.099585278	57.16270186	Y	59.46759817
ZNF141	ZNF141	ZNF141	ZNF141	ZNF141	0.493871825	80.23962493	N	59.78077572
PDE6B	PDE6B	PDE6B	PDE6B	PDE6B	0.877169376	90.69282862	N	82.74512166
SLC26A1	SLC26A1	SLC26A1	SLC26A1	SLC26A1	1.911630167	98.41986456	N	58.9376054
MAEA	MAEA	MAEA	MAEA	MAEA	-0.925476769	9.133530127	N	3.450975669
UVSSA	UVSSA	UVSSA	UVSSA	UVSSA	2.024734091	98.6050819	N	75.72874006
FAM53A	FAM53A	FAM53A	FAM53A	FAM53A	1.410421111	96.4229901	Unassessed	Unassessed
HAUS3	HAUS3	HAUS3	HAUS3	HAUS3	0.279153051	69.27128552	N	89.25560106
ZFYVE28	ZFYVE28	ZFYVE28	ZFYVE28	ZFYVE28	0.616466694	84.64432482	N	40.23729222
FAM193A	FAM193A	FAM193A	FAM193A	FAM193A	-0.482044269	20.89483128	N	54.93856902
SH3BP2	SH3BP2	SH3BP2	SH3BP2	SH3BP2	-0.045388889	46.17699832	N	25.80703445
NOP14	NOP14	NOP14	NOP14	NOP14	-0.233621899	33.45488221	N	81.65502289
GRK4	GRK4	GRK4	GRK4	GRK4	0.927454043	91.66521966	N	85.25054204
CRMP1	CRMP1	CRMP1	CRMP1	CRMP1	-1.100778721	6.563639521	N	49.81932065
MAN2B2	MAN2B2	MAN2B2	MAN2B2	MAN2B2	2.710165779	99.3227991	N	89.07492171
ZNF518B	ZNF518B	ZNF518B	ZNF518B	ZNF518B	0.016046741	50.68588297	N	80.05902192
MED28	MED28	MED28	MED28	MED28	-0.236138921	33.29860508	Y	30.29390508
GPR125	GPR125	GPR125	GPR125	GPR125	0.315375266	71.3954969	N	80.90821489
DHX15	DHX15	DHX15	DHX15	DHX15	-0.957405629	8.612606355	N	2.222356059
CCDC149	CCDC149	CCDC149	CCDC149	CCDC149	-0.083207293	43.33506975	N	51.37316309
PCDH7	PCDH7	PCDH7	PCDH7	PCDH7	-1.537659433	3.16027088	N	40.61069622
TBC1D1	TBC1D1	TBC1D1	TBC1D1	TBC1D1	-0.180951479	36.67303351	N	55.43844857
TLR1	TLR1	TLR1	TLR1	TLR1	1.592752951	97.44747352	N	74.57239219
UBE2K	UBE2K	UBE2K	UBE2K	UBE2K	0.08362237	55.98772935	Y	0.096362322
LIMCH1	LIMCH1	LIMCH1	LIMCH1	LIMCH1	0.03281494	52.05186086	N	46.16357504
DCAF4L1	DCAF4L1	DCAF4L1	DCAF4L1	DCAF4L1	-0.359862201	26.32401459	N	28.01734522
SHISA3	SHISA3	SHISA3	SHISA3	SHISA3	0.097822207	56.98327256	Y	27.83064322
SCFD2	SCFD2	SCFD2	SCFD2	SCFD2	-0.338006426	27.36007409	N	94.48325705
CEP135	CEP135	CEP135	CEP135	CEP135	-0.226118711	33.95844186	N	86.98506384
TECRL	TECRL	TECRL	TECRL	TECRL	-0.06150319	44.99623777	N	98.1450253
TMPRSS11E	TMPRSS11E	TMPRSS11E	TMPRSS11E	TMPRSS11E	-0.387960287	25.05064537	N	Unassessed
HTN3	HTN3	HTN3	HTN3	HTN3	0.319090009	71.70805117	N	22.43435317
SMR3A	SMR3A	SMR3A	SMR3A	SMR3A	0.298492991	70.40574174	N	60.08793062
MOB1B	MOB1B	MOB1B	MOB1B	MOB1B	-0.131096333	39.98379348	Y	52.70416767
ANKRD17	ANKRD17	ANKRD17	ANKRD17	ANKRD17	-3.917173106	0.231521676	N	10.91905565
IL8	IL8	IL8	IL8	IL8	0.145560638	60.65289113	Y	13.74969887
CXCL5	CXCL5	CXCL5	CXCL5	CXCL5	0.017051112	50.83058401	Y	90.70103589
CXCL3	CXCL3	CXCL3	CXCL3	CXCL3	-0.035470476	46.91207964	Y	91.91761021
CXCL2	CXCL2	CXCL2	CXCL2	CXCL2	0.145560638	60.65289113	Unassessed	Unassessed
PPEF2	PPEF2	PPEF2	PPEF2	PPEF2	0.903185945	91.14429588	N	68.1161166
CXCL9	CXCL9	CXCL9	CXCL9	CXCL9	0.154020328	61.30693986	Y	30.2698145
SOWAHB	SOWAHB	SOWAHB	SOWAHB	SOWAHB	-0.0163338	48.1912369	N	71.1575524
SEPT11	SEPT11	SEPT11	SEPT11	SEPT11	-0.301752054	29.35694854	Y	15.80342086
BMP2K	BMP2K	BMP2K	BMP2K	BMP2K	0.092839903	56.58968571	N	63.49674777
PAQR3	PAQR3	PAQR3	PAQR3	PAQR3	-0.808294265	11.39665451	N	19.53143821
RASGEF1B	RASGEF1B	RASGEF1B	RASGEF1B	RASGEF1B	-0.705964203	13.78132778	N	54.10744399
HERC3	HERC3	HERC3	HERC3	HERC3	-0.929002374	9.064073624	N	10.6058781
FAM13A	FAM13A	FAM13A	FAM13A	FAM13A	-0.249584647	32.47091509	N	33.70272224
GPRIN3	GPRIN3	GPRIN3	GPRIN3	GPRIN3	1.650080493	97.73108757	N	83.18477475
EIF4E	EIF4E	EIF4E	EIF4E	EIF4E	-0.058936621	45.1930312	Y	2.053721995
ADH4	ADH4	ADH4	ADH4	ADH4	0.551027573	82.47959715	N	95.70585401
ADH1B	ADH1B	ADH1B	ADH1B	ADH1B	0.718969098	87.40522081	N	65.12286196
ADH7	ADH7	ADH7	ADH7	ADH7	0.17491644	62.86392313	N	94.2905324
DNAJB14	DNAJB14	DNAJB14	DNAJB14	DNAJB14	-0.461231059	21.83249407	N	7.925801012
DDIT4L	DDIT4L	DDIT4L	DDIT4L	DDIT4L	0.150343606	61.02332581	Y	83.57624669
PPP3CA	PPP3CA	PPP3CA	PPP3CA	PPP3CA	-0.559729217	17.94292991	Y	4.824138762
BANK1	BANK1	BANK1	BANK1	BANK1	0.551331208	82.49696128	N	86.56950132
CISD2	CISD2	CISD2	CISD2	CISD2	-0.09740902	42.25270591	Y	8.467839075
SLC9B1	SLC9B1	SLC9B1	SLC9B1	SLC9B1	0.594283197	83.96133588	N	95.79017104
CENPE	CENPE	CENPE	CENPE	CENPE	-0.750732852	12.5832031	N	49.93977355
NPNT	NPNT	NPNT	NPNT	NPNT	0.902071833	91.10956763	N	90.53240183
CYP2U1	CYP2U1	CYP2U1	CYP2U1	CYP2U1	-0.079379727	43.6881403	N	68.29679595
CFI	CFI	CFI	CFI	CFI	0.55404856	82.58378191	N	74.18092026
GAR1	GAR1	GAR1	GAR1	GAR1	0.247883787	67.32650344	Y	77.22235606
TIFA	TIFA	TIFA	TIFA	TIFA	0.527414817	81.53035828	Y	65.04456757
METTL14	METTL14	METTL14	METTL14	METTL14	-0.103802501	41.88805927	Y	7.558419658
SYNPO2	SYNPO2	SYNPO2	SYNPO2	SYNPO2	-1.080580587	6.795161197	N	67.73668995
ADAD1	ADAD1	ADAD1	ADAD1	ADAD1	-0.285636061	30.30618742	N	40.95398699
FGF2	FGF2	FGF2	FGF2	FGF2	-0.095495045	42.38583087	Unassessed	Unassessed
ANKRD50	ANKRD50	ANKRD50	ANKRD50	ANKRD50	-1.660479685	2.610406899	N	24.23512407
INTU	INTU	INTU	INTU	INTU	0.199643642	64.36302599	N	95.74198988
PHF17	PHF17	PHF17	JADE1	JADE1	-0.934741508	8.954100828	N	7.721031077
PCDH10	PCDH10	PCDH10	PCDH10	PCDH10	-2.144785878	1.389130057	N	24.30137316
PCDH18	PCDH18	PCDH18	PCDH18	PCDH18	-1.32930757	4.485732477	N	47.11515298
RNF150	RNF150	RNF150	RNF150	RNF150	-0.13094377	40.00115761	N	76.78270296
GYPA	GYPA	GYPA	GYPA	GYPA	0.255386906	67.77218267	N	93.67019995
ABCE1	ABCE1	ABCE1	ABCE1	ABCE1	-0.256733821	32.08311628	Y	1.102144062
ZNF827	ZNF827	ZNF827	ZNF827	ZNF827	-1.380060197	4.057417376	N	33.94362804
POU4F2	POU4F2	POU4F2	POU4F2	POU4F2	-0.219065877	34.38675696	N	27.47530715
ARHGAP10	ARHGAP10	ARHGAP10	ARHGAP10	ARHGAP10	0.267171024	68.47832378	N	33.81715249
DCLK2	DCLK2	DCLK2	DCLK2	DCLK2	-0.123289027	40.56838572	N	25.46374368
SH3D19	SH3D19	SH3D19	SH3D19	SH3D19	0.199490684	64.35723795	N	83.55215611
TIGD4	TIGD4	TIGD4	TIGD4	TIGD4	0.31284098	71.27973607	N	94.77836666
FHDC1	FHDC1	FHDC1	FHDC1	FHDC1	1.556541607	97.25646814	N	70.13370272
SFRP2	SFRP2	SFRP2	SFRP2	SFRP2	-0.104759418	41.81281472	Y	6.353890629
PLRG1	PLRG1	PLRG1	PLRG1	PLRG1	-0.102845596	41.94593969	N	40.6347868
GUCY1A3	GUCY1A3	GUCY1A3	GUCY1A3	GUCY1A3	-0.558467104	17.97187012	N	48.19320646
TDO2	TDO2	TDO2	TDO2	TDO2	-0.659987499	15.04312091	N	84.25680559
C4orf46	C4orf46	C4orf46	C4orf46	C4orf46	0.274070774	68.90085084	Y	99.95181884
NPY1R	NPY1R	NPY1R	NPY1R	NPY1R	-0.272697012	31.12808937	Y	48.25945555
TRIM61	TRIM61	TRIM61	TRIM61	TRIM61	0.351015356	73.42131157	Unassessed	Unassessed
KLHL2	KLHL2	KLHL2	KLHL2	KLHL2	-0.398334639	24.51814551	N	18.89303782
SPOCK3	SPOCK3	SPOCK3	SPOCK3	SPOCK3	0.151450703	61.09857035	N	54.48687063
ANXA10	ANXA10	ANXA10	ANXA10	ANXA10	0.754573317	88.21554668	N	71.97060949
DDX60	DDX60	DDX60	DDX60	DDX60	-1.657513418	2.627771025	N	36.1659841
PALLD	PALLD	PALLD	PALLD	PALLD	-0.409064849	23.98564566	N	55.07106721
SH3RF1	SH3RF1	SH3RF1	SH3RF1	SH3RF1	-0.721626953	13.35880072	N	48.29559142
CLCN3	CLCN3	CLCN3	CLCN3	CLCN3	-0.830649701	10.97412745	N	11.97301855
MFAP3L	MFAP3L	MFAP3L	MFAP3L	MFAP3L	0.013526612	50.54118192	N	89.29173693
GALNTL6	GALNTL6	GALNTL6	GALNTL6	GALNTL6	-0.718099444	13.46298547	N	15.12286196
CEP44	CEP44	CEP44	CEP44	CEP44	0.300554575	70.56201887	N	54.86629728
WWC2	WWC2	WWC2	WWC2	WWC2	-0.105111665	41.76651039	N	32.68489521
CDKN2AIP	CDKN2AIP	CDKN2AIP	CDKN2AIP	CDKN2AIP	-0.785629384	11.82496961	N	39.65309564
RWDD4	RWDD4	RWDD4	RWDD4	RWDD4	-0.178028729	36.84667477	Y	66.77306673
TRAPPC11	TRAPPC11	TRAPPC11	TRAPPC11	TRAPPC11	-1.318115242	4.589917231	N	62.26210552
HELT	HELT	HELT	HELT	HELT	0.119525236	58.70810905	N	65.71910383
SLC25A4	SLC25A4	SLC25A4	SLC25A4	SLC25A4	-0.335593115	27.47004688	Y	7.787280173
SNX25	SNX25	SNX25	SNX25	SNX25	-0.58656713	17.18469642	N	32.46205734
FAM149A	FAM149A	FAM149A	FAM149A	FAM149A	2.063655672	98.66875036	N	83.5642014
CYP4V2	CYP4V2	CYP4V2	CYP4V2	CYP4V2	0.200295721	64.41511837	N	86.78631655
KLKB1	KLKB1	KLKB1	KLKB1	KLKB1	0.918035971	91.46842623	N	59.93736449
FRG1	FRG1	FRG1	FRG1	FRG1	2.688480138	99.30543497	Y	17.91736931
PLEKHG4B	PLEKHG4B	PLEKHG4B	PLEKHG4B	PLEKHG4B	2.06149693	98.66296232	N	86.68995423
CEP72	CEP72	CEP72	CEP72	CEP72	0.258710853	67.9689761	N	61.43098049
BRD9	BRD9	BRD9	BRD9	BRD9	-0.837196214	10.83521445	N	18.62804144
SLC12A7	SLC12A7	SLC12A7	SLC12A7	SLC12A7	-1.558988629	3.032933958	N	21.82606601
SLC6A19	SLC6A19	SLC6A19	SLC6A19	SLC6A19	-0.543313266	18.46964172	N	52.31871838
C5orf38	C5orf38	C5orf38	C5orf38	C5orf38	0.078032613	55.54205012	Y	24.50012045
IRX1	IRX1	IRX1	IRX1	IRX1	-0.281003772	30.58401343	Unassessed	Unassessed
MED10	MED10	MED10	MED10	MED10	0.009548021	50.25756786	Y	64.98434112
MARCH6	MARCH6	MARCH6	MARCH6	MARCH6	-1.343775714	4.369971639	N	9.208624428
PDZD2	PDZD2	PDZD2	PDZD2	PDZD2	-0.309191388	28.96914974	N	53.43290773
MTMR12	MTMR12	MTMR12	MTMR12	MTMR12	0.253773539	67.69115008	N	43.11009395
ZFR	ZFR	ZFR	ZFR	ZFR	-1.09040526	6.662036233	N	39.79161648
ADAMTS12	ADAMTS12	ADAMTS12	ADAMTS12	ADAMTS12	-0.38326217	25.25322683	N	62.50903397
RAI14	RAI14	RAI14	RAI14	RAI14	-0.439224242	22.7759449	N	39.41821248
BRIX1	BRIX1	BRIX1	BRIX1	BRIX1	0.241337169	66.9618568	Y	62.11756203
LMBRD2	LMBRD2	LMBRD2	LMBRD2	LMBRD2	-0.73214908	13.11570296	N	42.42351241
C5orf42	C5orf42	C5orf42	C5orf42	C5orf42	0.315861112	71.47074145	N	50.78896651
WDR70	WDR70	WDR70	WDR70	WDR70	-1.157132886	6.01377554	N	8.973741267
RICTOR	RICTOR	RICTOR	RICTOR	RICTOR	-2.29671615	1.140244255	N	21.95254156
DAB2	DAB2	DAB2	DAB2	DAB2	-0.099672261	42.11958095	N	40.84557938
